ticker,column,overlap_rows,compared_rows,different_rows,max_abs_diff
MGROS.IS,close,0,0,0,
MGROS.IS,adj_close,0,0,0,
MGROS.IS,volume,0,0,0,
MGROS.IS,dividends,0,0,0,
MGROS.IS,stock_splits,0,0,0,
MIATK.IS,open,0,0,0,
MIATK.IS,high,0,0,0,
MIATK.IS,low,0,0,0,
MIATK.IS,close,0,0,0,
MIATK.IS,adj_close,0,0,0,
MIATK.IS,volume,0,0,0,
MIATK.IS,dividends,0,0,0,
MIATK.IS,stock_splits,0,0,0,
MOGAN.IS,open,0,0,0,
MOGAN.IS,high,0,0,0,
MOGAN.IS,low,0,0,0,
MOGAN.IS,close,0,0,0,
MOGAN.IS,adj_close,0,0,0,
MOGAN.IS,volume,0,0,0,
MOGAN.IS,dividends,0,0,0,
MOGAN.IS,stock_splits,0,0,0,
MTRKS.IS,open,0,0,0,
MTRKS.IS,high,0,0,0,
MTRKS.IS,low,0,0,0,
MTRKS.IS,close,0,0,0,
MTRKS.IS,adj_close,0,0,0,
MTRKS.IS,volume,0,0,0,
MTRKS.IS,dividends,0,0,0,
MTRKS.IS,stock_splits,0,0,0,
ODAS.IS,open,0,0,0,
ODAS.IS,high,0,0,0,
ODAS.IS,low,0,0,0,
ODAS.IS,close,0,0,0,
ODAS.IS,adj_close,0,0,0,
ODAS.IS,volume,0,0,0,
ODAS.IS,dividends,0,0,0,
ODAS.IS,stock_splits,0,0,0,
ONCSM.IS,open,0,0,0,
ONCSM.IS,high,0,0,0,
ONCSM.IS,low,0,0,0,
ONCSM.IS,close,0,0,0,
ONCSM.IS,adj_close,0,0,0,
ONCSM.IS,volume,0,0,0,
ONCSM.IS,dividends,0,0,0,
ONCSM.IS,stock_splits,0,0,0,
OTKAR.IS,open,0,0,0,
OTKAR.IS,high,0,0,0,
OTKAR.IS,low,0,0,0,
OTKAR.IS,close,0,0,0,
OTKAR.IS,adj_close,0,0,0,
OTKAR.IS,volume,0,0,0,
OTKAR.IS,dividends,0,0,0,
OTKAR.IS,stock_splits,0,0,0,
OYAKC.IS,open,0,0,0,
OYAKC.IS,high,0,0,0,
OYAKC.IS,low,0,0,0,
OYAKC.IS,close,0,0,0,
OYAKC.IS,adj_close,0,0,0,
OYAKC.IS,volume,0,0,0,
OYAKC.IS,dividends,0,0,0,
OYAKC.IS,stock_splits,0,0,0,
PASEU.IS,open,0,0,0,
PASEU.IS,high,0,0,0,
PASEU.IS,low,0,0,0,
PASEU.IS,close,0,0,0,
PASEU.IS,adj_close,0,0,0,
PASEU.IS,volume,0,0,0,
PASEU.IS,dividends,0,0,0,
PASEU.IS,stock_splits,0,0,0,
PETKM.IS,open,0,0,0,
PETKM.IS,high,0,0,0,
PETKM.IS,low,0,0,0,
PETKM.IS,close,0,0,0,
PETKM.IS,adj_close,0,0,0,
PETKM.IS,volume,0,0,0,
PETKM.IS,dividends,0,0,0,
PETKM.IS,stock_splits,0,0,0,
PGSUS.IS,open,0,0,0,
PGSUS.IS,high,0,0,0,
PGSUS.IS,low,0,0,0,
PGSUS.IS,close,0,0,0,
PGSUS.IS,adj_close,0,0,0,
PGSUS.IS,volume,0,0,0,
PGSUS.IS,dividends,0,0,0,
PGSUS.IS,stock_splits,0,0,0,
PLTUR.IS,open,0,0,0,
PLTUR.IS,high,0,0,0,
PLTUR.IS,low,0,0,0,
PLTUR.IS,close,0,0,0,
PLTUR.IS,adj_close,0,0,0,
PLTUR.IS,volume,0,0,0,
PLTUR.IS,dividends,0,0,0,
PLTUR.IS,stock_splits,0,0,0,
REEDR.IS,open,0,0,0,
REEDR.IS,high,0,0,0,
REEDR.IS,low,0,0,0,
REEDR.IS,close,0,0,0,
REEDR.IS,adj_close,0,0,0,
REEDR.IS,volume,0,0,0,
REEDR.IS,dividends,0,0,0,
REEDR.IS,stock_splits,0,0,0,
SAHOL.IS,open,0,0,0,
SAHOL.IS,high,0,0,0,
SAHOL.IS,low,0,0,0,
SAHOL.IS,close,0,0,0,
SAHOL.IS,adj_close,0,0,0,
SAHOL.IS,volume,0,0,0,
SAHOL.IS,dividends,0,0,0,
SAHOL.IS,stock_splits,0,0,0,
SASA.IS,open,0,0,0,
SASA.IS,high,0,0,0,
SASA.IS,low,0,0,0,
SASA.IS,close,0,0,0,
SASA.IS,adj_close,0,0,0,
SASA.IS,volume,0,0,0,
SASA.IS,dividends,0,0,0,
SASA.IS,stock_splits,0,0,0,
SDTTR.IS,open,0,0,0,
SDTTR.IS,high,0,0,0,
SDTTR.IS,low,0,0,0,
SDTTR.IS,close,0,0,0,
SDTTR.IS,adj_close,0,0,0,
SDTTR.IS,volume,0,0,0,
SDTTR.IS,dividends,0,0,0,
SDTTR.IS,stock_splits,0,0,0,
SELEC.IS,open,0,0,0,
SELEC.IS,high,0,0,0,
SELEC.IS,low,0,0,0,
SELEC.IS,close,0,0,0,
SELEC.IS,adj_close,0,0,0,
SELEC.IS,volume,0,0,0,
SELEC.IS,dividends,0,0,0,
SELEC.IS,stock_splits,0,0,0,
SISE.IS,open,0,0,0,
SISE.IS,high,0,0,0,
SISE.IS,low,0,0,0,
SISE.IS,close,0,0,0,
SISE.IS,adj_close,0,0,0,
SISE.IS,volume,0,0,0,
SISE.IS,dividends,0,0,0,
SISE.IS,stock_splits,0,0,0,
SKBNK.IS,open,0,0,0,
SKBNK.IS,high,0,0,0,
SKBNK.IS,low,0,0,0,
SKBNK.IS,close,0,0,0,
SKBNK.IS,adj_close,0,0,0,
SKBNK.IS,volume,0,0,0,
SKBNK.IS,dividends,0,0,0,
SKBNK.IS,stock_splits,0,0,0,
SOKM.IS,open,0,0,0,
SOKM.IS,high,0,0,0,
SOKM.IS,low,0,0,0,
SOKM.IS,close,0,0,0,
SOKM.IS,adj_close,0,0,0,
SOKM.IS,volume,0,0,0,
SOKM.IS,dividends,0,0,0,
SOKM.IS,stock_splits,0,0,0,
SURGY.IS,open,0,0,0,
SURGY.IS,high,0,0,0,
SURGY.IS,low,0,0,0,
SURGY.IS,close,0,0,0,
SURGY.IS,adj_close,0,0,0,
SURGY.IS,volume,0,0,0,
SURGY.IS,dividends,0,0,0,
SURGY.IS,stock_splits,0,0,0,
TABGD.IS,open,0,0,0,
TABGD.IS,high,0,0,0,
TABGD.IS,low,0,0,0,
TABGD.IS,close,0,0,0,
TABGD.IS,adj_close,0,0,0,
TABGD.IS,volume,0,0,0,
TABGD.IS,dividends,0,0,0,
TABGD.IS,stock_splits,0,0,0,
TAVHL.IS,open,0,0,0,
TAVHL.IS,high,0,0,0,
TAVHL.IS,low,0,0,0,
TAVHL.IS,close,0,0,0,
TAVHL.IS,adj_close,0,0,0,
TAVHL.IS,volume,0,0,0,
TAVHL.IS,dividends,0,0,0,
TAVHL.IS,stock_splits,0,0,0,
TCELL.IS,open,0,0,0,
TCELL.IS,high,0,0,0,
TCELL.IS,low,0,0,0,
TCELL.IS,close,0,0,0,
TCELL.IS,adj_close,0,0,0,
TCELL.IS,volume,0,0,0,
TCELL.IS,dividends,0,0,0,
TCELL.IS,stock_splits,0,0,0,
TERA.IS,open,0,0,0,
TERA.IS,high,0,0,0,
TERA.IS,low,0,0,0,
TERA.IS,close,0,0,0,
TERA.IS,adj_close,0,0,0,
TERA.IS,volume,0,0,0,
TERA.IS,dividends,0,0,0,
TERA.IS,stock_splits,0,0,0,
THYAO.IS,open,0,0,0,
THYAO.IS,high,0,0,0,
THYAO.IS,low,0,0,0,
THYAO.IS,close,0,0,0,
THYAO.IS,adj_close,0,0,0,
THYAO.IS,volume,0,0,0,
THYAO.IS,dividends,0,0,0,
THYAO.IS,stock_splits,0,0,0,
TKFEN.IS,open,0,0,0,
TKFEN.IS,high,0,0,0,
TKFEN.IS,low,0,0,0,
TKFEN.IS,close,0,0,0,
TKFEN.IS,adj_close,0,0,0,
TKFEN.IS,volume,0,0,0,
TKFEN.IS,dividends,0,0,0,
TKFEN.IS,stock_splits,0,0,0,
TOASO.IS,open,0,0,0,
TOASO.IS,high,0,0,0,
TOASO.IS,low,0,0,0,
TOASO.IS,close,0,0,0,
TOASO.IS,adj_close,0,0,0,
TOASO.IS,volume,0,0,0,
TOASO.IS,dividends,0,0,0,
TOASO.IS,stock_splits,0,0,0,
TRGYO.IS,open,0,0,0,
TRGYO.IS,high,0,0,0,
TRGYO.IS,low,0,0,0,
TRGYO.IS,close,0,0,0,
TRGYO.IS,adj_close,0,0,0,
TRGYO.IS,volume,0,0,0,
TRGYO.IS,dividends,0,0,0,
TRGYO.IS,stock_splits,0,0,0,
TSKB.IS,open,0,0,0,
TSKB.IS,high,0,0,0,
TSKB.IS,low,0,0,0,
TSKB.IS,close,0,0,0,
TSKB.IS,adj_close,0,0,0,
TSKB.IS,volume,0,0,0,
TSKB.IS,dividends,0,0,0,
TSKB.IS,stock_splits,0,0,0,
TTKOM.IS,open,0,0,0,
TTKOM.IS,high,0,0,0,
TTKOM.IS,low,0,0,0,
TTKOM.IS,close,0,0,0,
TTKOM.IS,adj_close,0,0,0,
TTKOM.IS,volume,0,0,0,
TTKOM.IS,dividends,0,0,0,
TTKOM.IS,stock_splits,0,0,0,
TTRAK.IS,open,0,0,0,
TTRAK.IS,high,0,0,0,
TTRAK.IS,low,0,0,0,
TTRAK.IS,close,0,0,0,
TTRAK.IS,adj_close,0,0,0,
TTRAK.IS,volume,0,0,0,
TTRAK.IS,dividends,0,0,0,
TTRAK.IS,stock_splits,0,0,0,
TUPRS.IS,open,0,0,0,
TUPRS.IS,high,0,0,0,
TUPRS.IS,low,0,0,0,
TUPRS.IS,close,0,0,0,
TUPRS.IS,adj_close,0,0,0,
TUPRS.IS,volume,0,0,0,
TUPRS.IS,dividends,0,0,0,
TUPRS.IS,stock_splits,0,0,0,
TUREX.IS,open,0,0,0,
TUREX.IS,high,0,0,0,
TUREX.IS,low,0,0,0,
TUREX.IS,close,0,0,0,
TUREX.IS,adj_close,0,0,0,
TUREX.IS,volume,0,0,0,
