date,equity,positions,cash_weight
2022-01-17,3.505159659045713,10,0.0
2022-01-18,3.344236502040278,10,0.0
2022-01-19,3.4305084455296915,10,0.0
2022-01-20,3.3468934398409322,10,0.0
2022-01-21,3.365709675580558,10,0.0
2022-01-24,3.208396871286221,10,0.0
2022-01-25,3.2728948016909998,10,0.0
2022-01-26,3.3241092650459985,10,0.0
2022-01-27,3.427888770324114,10,0.0
2022-01-28,3.4672327148172144,10,0.0
2022-01-31,3.480353430197915,10,0.0
2022-02-01,3.5089713253836687,10,0.0
2022-02-02,3.446183806372587,10,0.0
2022-02-03,3.4440653813589712,10,0.0
2022-02-04,3.475319448497314,10,0.0
2022-02-07,3.5471372285045715,10,0.0
2022-02-08,3.5510540114832474,10,0.0
2022-02-09,3.646740335166228,10,0.0
2022-02-10,3.5887697486404138,10,0.0
2022-02-11,3.5707529132163036,10,0.0
2022-02-14,3.447599753326283,10,0.0
2022-02-15,3.5097930259100623,10,0.0
2022-02-16,3.5257649610734174,10,0.0
2022-02-17,3.4708740739269524,10,0.0
2022-02-18,3.492926461870719,10,0.0
2022-02-21,3.517444254241629,10,0.0
2022-02-22,3.4844173176312667,10,0.0
2022-02-23,3.509270219309124,10,0.0
2022-02-24,3.179298500100282,10,0.0
2022-02-25,3.403195203445476,10,0.0
2022-02-28,3.3892664454641985,10,0.0
2022-03-01,3.4463225379368185,10,0.0
2022-03-02,3.457198666688265,10,0.0
2022-03-03,3.5261202126454596,10,0.0
2022-03-04,3.4756890982709705,10,0.0
2022-03-07,3.5024993824007034,10,0.0
2022-03-08,3.511950307104199,10,0.0
2022-03-09,3.6594788482402048,10,0.0
2022-03-10,3.670470403862065,10,0.0
2022-03-11,3.7034139366707755,10,0.0
2022-03-14,3.7916063389680845,10,0.0
2022-03-15,3.8155828624915045,10,0.0
2022-03-16,3.835543313233919,10,0.0
2022-03-17,3.8872122596382197,10,0.0
2022-03-18,3.9501477339533517,10,0.0
2022-03-21,4.019590480742177,10,0.0
2022-03-22,4.138172688105492,10,0.0
2022-03-23,4.142027377733026,10,0.0
2022-03-24,4.16782798619309,10,0.0
2022-03-25,4.187165240898017,10,0.0
2022-03-28,4.225687944233445,10,0.0
2022-03-29,4.327494711020224,10,0.0
2022-03-30,4.367935784203927,10,0.0
2022-03-31,4.402591794863193,10,0.0
2022-04-01,4.421746531392375,10,0.0
2022-04-04,4.535172220247072,10,0.0
2022-04-05,4.627011018326444,10,0.0
2022-04-06,4.738376653619334,10,0.0
2022-04-07,4.8760782021602065,10,0.0
2022-04-08,4.994020013189316,10,0.0
2022-04-11,5.060712740843234,10,0.0
2022-04-12,4.992650531087976,10,0.0
2022-04-13,4.943211558065977,10,0.0
2022-04-14,4.916877321276146,10,0.0
2022-04-15,5.024700930455291,10,0.0
2022-04-18,5.057219259397541,10,0.0
2022-04-19,4.993400430552229,10,0.0
2022-04-20,5.010075752033388,10,0.0
2022-04-21,5.044314624904828,10,0.0
2022-04-22,4.911357134617939,10,0.0
2022-04-25,4.917265277064172,10,0.0
2022-04-26,4.873876785173323,10,0.0
2022-04-27,4.951439240315959,10,0.0
2022-04-28,4.929216343885947,10,0.0
2022-04-29,4.981143483921025,10,0.0
2022-05-05,5.1153760623393865,10,0.0
2022-05-06,5.075889325655787,10,0.0
2022-05-09,5.094522969562469,10,0.0
2022-05-10,5.126646755825788,10,0.0
2022-05-11,5.086284770114687,10,0.0
2022-05-12,4.984086682693208,10,0.0
2022-05-13,5.101319771369777,10,0.0
2022-05-16,5.089700816707576,10,0.0
2022-05-17,5.117182562514243,10,0.0
2022-05-18,5.139772046419325,10,0.0
2022-05-20,5.126464123859481,10,0.0
2022-05-23,5.198720673183887,10,0.0
2022-05-24,5.252556840402437,10,0.0
2022-05-25,5.287364929235733,10,0.0
2022-05-26,5.358404315909001,10,0.0
2022-05-27,5.338704399379394,10,0.0
2022-05-30,5.550079088643063,10,0.0
