outer_fold,architecture,case,k,cost_bps,delay_sessions,capital_try,adv_limit_pct,target_family,horizon_sessions,train_observations,net_return,cagr,sharpe,daily_maxdd,worst_day,daily_observations,mean_turnover_two_sided,total_turnover_two_sided,attempted_trades,filled_trades,unfilled_trades,fill_rate,terminal_liquidation_cost_try,mean_cash_weight,mean_holdings,adv_missing_checks,order_adv_median,order_adv_p90,order_adv_p95,order_adv_max,order_adv_gt_10pct
O2,LAMBDAMART,K_SENSITIVITY,5,0,0,1000000,0.1,RAW,20,1029,0.23403294035774014,0.3423243042029269,0.7567423550737322,-0.3285063228694125,-0.09504944364473644,180,1.3177395724693728,5.270958289877491,24,22,2,0.9166666666666666,0.0,0.11827027198379336,4.331491712707182,0,0.0007252164008266057,0.005411774185079042,0.007424365655254219,0.016795508143595886,0.0
O2,LAMBDAMART,K_SENSITIVITY,5,30,0,1000000,0.1,RAW,20,1029,0.33508158615844064,0.49868695961059784,0.9724959654328469,-0.33477695469180424,-0.09477237089214952,180,1.4945691625093596,5.978276650037438,25,25,0,1.0,4017.229945205877,0.0009949393990928484,5.0,0,0.0006051554781112028,0.005112267579775595,0.007304314568980113,0.0166559842794184,0.0
O2,LAMBDAMART,K_SENSITIVITY,5,50,0,1000000,0.1,RAW,20,1029,0.31976905407909406,0.4746777143390153,0.9454697687382613,-0.33690158728973596,-0.09458486732920324,180,1.4909300024448626,5.9637200097794505,25,25,0,1.0,6631.696899465767,0.0016831448071718109,5.0,0,0.0005993992521151213,0.00508392214081221,0.00727305673855614,0.016563633638846477,0.0
O2,LAMBDAMART,K_SENSITIVITY,5,100,0,1000000,0.1,RAW,20,1029,0.2823313149145086,0.41644705961931927,0.8771883752825377,-0.3421240189884066,-0.09410631252493473,180,1.4817659441526976,5.92706377661079,25,25,0,1.0,12950.382161235593,0.003492591092023603,5.0,0,0.0005852536311388828,0.005013764420815919,0.007195081455596903,0.016335056815919426,0.0
O2,LAMBDAMART,K_SENSITIVITY,10,0,0,1000000,0.1,RAW,20,1029,0.5291096083130005,0.8122331238872262,1.3972865531552385,-0.29782860068127404,-0.09180983135413001,180,1.5000000000000004,6.000000000000002,50,50,0,1.0,0.0,0.0,10.0,0,0.0003132857257904292,0.0038368211834222295,0.0068020940886516735,0.019954386524374854,0.0
O2,LAMBDAMART,K_SENSITIVITY,10,30,0,1000000,0.1,RAW,20,1029,0.5027306130529412,0.7686161535192202,1.356263256844738,-0.3013534612292925,-0.09154248893419425,180,1.4945874059517197,5.978349623806879,50,50,0,1.0,4521.687308580872,0.001002051131400604,10.0,0,0.0003100712679346676,0.003813800256321696,0.006745105792926145,0.019834660205228602,0.0
O2,LAMBDAMART,K_SENSITIVITY,10,50,0,1000000,0.1,RAW,20,1029,0.4854187091807063,0.7401570507034358,1.328498534955312,-0.30367719010744687,-0.09136156923324823,180,1.4909610070102632,5.963844028041053,50,50,0,1.0,7464.092938954939,0.0016946553330209248,10.0,0,0.0003079468360739556,0.003798452971588007,0.006707383077636825,0.019754842659131102,0.0
O2,LAMBDAMART,K_SENSITIVITY,10,100,0,1000000,0.1,RAW,20,1029,0.44308201153317484,0.6711191590863217,1.2577855619636424,-0.3093941059542784,-0.09089981457296137,180,1.4818309931465696,5.9273239725862785,50,50,0,1.0,14574.013425553689,0.003513846237415045,10.0,0,0.0003026997360517207,0.003760084759753785,0.006614008092603612,0.019555298793887357,0.0
O2,LAMBDAMART,K_SENSITIVITY,15,0,0,1000000,0.1,RAW,20,1029,0.46822766446101904,0.7120276086388195,1.3045781327798855,-0.26180662726757764,-0.0922711092240498,180,1.3192162392557325,5.27686495702293,70,69,1,0.9857142857142858,0.0,0.019902549974015925,14.662983425414364,0,0.0001404751167899658,0.00276933436026721,0.004557924459197348,0.013302924349583236,0.0
O2,LAMBDAMART,K_SENSITIVITY,15,30,0,1000000,0.1,RAW,20,1029,0.4661069743302164,0.7085666444965364,1.3051351239298947,-0.2647989938489982,-0.09200483054206676,180,1.3460636702044795,5.384254680817918,70,70,0,1.0,4408.289725069309,0.0015061057548547401,15.0,0,0.00013893781867489594,0.0027527183541056067,0.004509922361324325,0.013223106803485738,0.0
O2,LAMBDAMART,K_SENSITIVITY,15,50,0,1000000,0.1,RAW,20,1029,0.45053845544259863,0.6832202438870372,1.2791373380149953,-0.26676962839516205,-0.0918246228039189,180,1.3426794461364873,5.370717784545949,70,70,0,1.0,7279.982254671203,0.002535645243428253,15.0,0,0.00013811347812438696,0.0027416410166645378,0.0044782257962981565,0.013169895106087405,0.0
O2,LAMBDAMART,K_SENSITIVITY,15,100,0,1000000,0.1,RAW,20,1029,0.4124391339337312,0.6216519127385236,1.2130429990720517,-0.271610709317909,-0.09136465633215718,180,1.3341623109759304,5.336649243903722,70,70,0,1.0,14229.597389355293,0.005200020548037586,15.0,0,0.00013619576470647477,0.0027139476730618658,0.0044000368276175365,0.013036865862591573,0.0
O2,LAMBDAMART,K_SENSITIVITY,20,0,0,1000000,0.1,RAW,20,1029,0.5164691464810354,0.7912945733992895,1.413897874398455,-0.243625849747509,-0.09041384253285534,180,1.2229962780403278,4.891985112161311,88,87,1,0.9886363636363636,0.0,0.01336892022668011,19.668508287292816,0,0.00011820186036963037,0.0019334126242129346,0.003165822864089564,0.009977193262187427,0.0
O2,LAMBDAMART,K_SENSITIVITY,20,30,0,1000000,0.1,RAW,20,1029,0.5183720705135648,0.7944422627955421,1.422097571241017,-0.24458396009562,-0.09015332897230921,180,1.2152277650523833,4.860911060209533,88,88,0,1.0,4562.562445675499,0.001925116199166974,20.0,0,0.00011749264920741259,0.001921812148467657,0.003165796545224491,0.009917330102614301,0.0
O2,LAMBDAMART,K_SENSITIVITY,20,50,0,1000000,0.1,RAW,20,1029,0.5033010147215811,0.7695560807729009,1.3984735385076146,-0.24620877134365704,-0.08997702152964937,180,1.2121134757912546,4.8484539031650185,88,88,0,1.0,7536.827918955473,0.003233652784315836,20.0,0,0.00011701984176593405,0.001914078497970805,0.003137955257629728,0.009877421329565551,0.0
