observation_id,ticker,company_type,size_liquidity,sector,financial_period,period_end,statement_type,preferred_consolidated_flag,consolidated_flag,kap_notification_id,announcement_date,announcement_timestamp,timing_quality,available_next_session_required,first_publication_flag,restatement_revision_flag,vintage_class,vintage_recovery_status,lineage_status,source_url,retrieval_timestamp_utc,exact_candidate_count,preferred_basis_candidate_count,mapping_status,mapping_confidence,mapping_failure,consolidation_basis_resolved,presentation_unit_status,accounting_semantics_status,flow_semantics,tfrs29_status,completely_unrecoverable
ISCTR.IS:2024Q3,ISCTR.IS,BANK,LARGE_LIQUID,BANKING,2024Q3,2024-09-30,INTERIM,NON_CONSOLIDATED,NON_CONSOLIDATED,1353364,04.11.2024,04.11.2024 18:22:35,EXACT_TIMESTAMP,True,True,False,FIRST_PUBLISHED,FIRST_PUBLISHED,RESOLVED_NO_CORRECTION,https://www.kap.org.tr/tr/Bildirim/1353364,2026-09-17T17:14:17.495586+00:00,2,1,EXACT,HIGH,,True,RESOLVED,RESOLVED,YTD_9M,BANK_BDDK_NOT_APPLIED_IN_LOCAL_CONTRACT,False
AKBNK.IS:2022Q3,AKBNK.IS,BANK,LARGE_LIQUID,BANKING,2022Q3,2022-09-30,INTERIM,NON_CONSOLIDATED,NON_CONSOLIDATED,1074407,26.10.2022,26.10.2022 18:11:34,EXACT_TIMESTAMP,True,True,False,FIRST_PUBLISHED,FIRST_PUBLISHED,RESOLVED_NO_CORRECTION,https://www.kap.org.tr/tr/Bildirim/1074407,2026-09-17T17:14:17.495586+00:00,2,1,EXACT,HIGH,,True,RESOLVED,RESOLVED,YTD_9M,PRE_TFRS29,False
AKBNK.IS:2023Q4,AKBNK.IS,BANK,LARGE_LIQUID,BANKING,2023Q4,2023-12-31,ANNUAL,NON_CONSOLIDATED,NON_CONSOLIDATED,1246216,01.02.2024,01.02.2024 18:16:07,EXACT_TIMESTAMP,True,True,False,FIRST_PUBLISHED,FIRST_PUBLISHED,RESOLVED_NO_CORRECTION,https://www.kap.org.tr/tr/Bildirim/1246216,2026-09-17T17:14:17.495586+00:00,2,1,EXACT,HIGH,,True,RESOLVED,RESOLVED,ANNUAL,BANK_BDDK_NOT_APPLIED_IN_LOCAL_CONTRACT,False
AKBNK.IS:2024Q2,AKBNK.IS,BANK,LARGE_LIQUID,BANKING,2024Q2,2024-06-30,INTERIM,NON_CONSOLIDATED,NON_CONSOLIDATED,1316532,29.07.2024,29.07.2024 18:15:26,EXACT_TIMESTAMP,True,True,False,FIRST_PUBLISHED,FIRST_PUBLISHED,RESOLVED_NO_CORRECTION,https://www.kap.org.tr/tr/Bildirim/1316532,2026-09-17T17:14:17.495586+00:00,2,1,EXACT,HIGH,,True,RESOLVED,RESOLVED,YTD_6M,BANK_BDDK_NOT_APPLIED_IN_LOCAL_CONTRACT,False
ANSGR.IS:2022Q1,ANSGR.IS,INSURANCE_FINANCIAL,MEDIUM,INSURANCE,2022Q1,2022-03-31,INTERIM,NON_CONSOLIDATED,NON_CONSOLIDATED,1025810,29.04.2022,29.04.2022 18:20:12,EXACT_TIMESTAMP,True,True,False,FIRST_PUBLISHED,FIRST_PUBLISHED,RESOLVED_NO_CORRECTION,https://www.kap.org.tr/tr/Bildirim/1025810,2026-09-17T17:14:17.495586+00:00,2,1,EXACT,HIGH,,True,RESOLVED,RESOLVED,SINGLE_QUARTER,PRE_TFRS29,False
ANSGR.IS:2023Q4,ANSGR.IS,INSURANCE_FINANCIAL,MEDIUM,INSURANCE,2023Q4,2023-12-31,ANNUAL,NON_CONSOLIDATED,NON_CONSOLIDATED,1247820,07.02.2024,07.02.2024 21:28:42,EXACT_TIMESTAMP,True,True,False,FIRST_PUBLISHED,FIRST_PUBLISHED,RESOLVED_NO_CORRECTION,https://www.kap.org.tr/tr/Bildirim/1247820,2026-09-17T17:14:17.495586+00:00,2,1,EXACT,HIGH,,True,RESOLVED,RESOLVED,ANNUAL,POST_TFRS29_STATUS_UNKNOWN,False
ANSGR.IS:2024Q3,ANSGR.IS,INSURANCE_FINANCIAL,MEDIUM,INSURANCE,2024Q3,2024-09-30,INTERIM,NON_CONSOLIDATED,NON_CONSOLIDATED,1351070,25.10.2024,25.10.2024 19:24:41,EXACT_TIMESTAMP,True,True,False,FIRST_PUBLISHED,FIRST_PUBLISHED,RESOLVED_NO_CORRECTION,https://www.kap.org.tr/tr/Bildirim/1351070,2026-09-17T17:14:17.495586+00:00,2,1,EXACT,HIGH,,True,RESOLVED,RESOLVED,YTD_9M,POST_TFRS29_STATUS_UNKNOWN,False
TURSG.IS:2022Q3,TURSG.IS,INSURANCE_FINANCIAL,MEDIUM,INSURANCE,2022Q3,2022-09-30,INTERIM,NON_CONSOLIDATED,NON_CONSOLIDATED,1075400,31.10.2022,31.10.2022 18:13:32,EXACT_TIMESTAMP,True,True,False,FIRST_PUBLISHED,FIRST_PUBLISHED,RESOLVED_NO_CORRECTION,https://www.kap.org.tr/tr/Bildirim/1075400,2026-09-17T17:14:17.495586+00:00,2,1,EXACT,HIGH,,True,RESOLVED,RESOLVED,YTD_9M,PRE_TFRS29,False
TURSG.IS:2023Q4,TURSG.IS,INSURANCE_FINANCIAL,MEDIUM,INSURANCE,2023Q4,2023-12-31,ANNUAL,NON_CONSOLIDATED,NON_CONSOLIDATED,1250640,19.02.2024,19.02.2024 21:02:14,EXACT_TIMESTAMP,True,True,False,FIRST_PUBLISHED,FIRST_PUBLISHED,RESOLVED_NO_CORRECTION,https://www.kap.org.tr/tr/Bildirim/1250640,2026-09-17T17:14:17.495586+00:00,2,1,EXACT,HIGH,,True,RESOLVED,RESOLVED,ANNUAL,POST_TFRS29_STATUS_UNKNOWN,False
TURSG.IS:2024Q2,TURSG.IS,INSURANCE_FINANCIAL,MEDIUM,INSURANCE,2024Q2,2024-06-30,INTERIM,NON_CONSOLIDATED,NON_CONSOLIDATED,1315631,25.07.2024,25.07.2024 22:32:32,EXACT_TIMESTAMP,True,True,False,FIRST_PUBLISHED,FIRST_PUBLISHED,RESOLVED_NO_CORRECTION,https://www.kap.org.tr/tr/Bildirim/1315631,2026-09-17T17:14:17.495586+00:00,2,1,EXACT,HIGH,,True,RESOLVED,RESOLVED,YTD_6M,POST_TFRS29_STATUS_UNKNOWN,False
