outer_fold,inner_year,candidate,family,target_family,horizon_sessions,candidate_coverage,coverage_loss,baseline_rank_ic_mean,baseline_rank_ic_median,baseline_rank_ic_std,baseline_positive_ic_ratio,baseline_icir,baseline_ndcg,baseline_spread,baseline_signal_dates,candidate_rank_ic_mean,candidate_rank_ic_median,candidate_rank_ic_std,candidate_positive_ic_ratio,candidate_icir,candidate_ndcg,candidate_spread,candidate_signal_dates,delta_rank_ic,delta_median_ic,delta_ndcg
O2,2022,mom_252_skip20,MOMENTUM,VOL_SCALED,40,0.9946236559139785,0.0,0.02479473340364359,0.02059331797235023,0.07244577940415639,0.6666666666666666,0.3422522831222526,0.6481377888466683,0.10899458373529029,3,0.014956898336242067,0.0317300307219662,0.11411346503058617,0.6666666666666666,0.13107040726730299,0.6642125816832314,0.08217253271168053,3,-0.009837835067401523,0.01113671274961597,0.0160747928365631
O2,2021,positive_return_ratio_63,MOMENTUM_CONSISTENCY,VOL_SCALED,40,1.0,0.0,0.22074650365842366,0.29352597943873304,0.22904301679948777,0.6666666666666666,0.9637774892376345,0.5783137776780648,0.045476439481984654,3,0.22293229600815045,0.2883578771881079,0.22594704277483557,0.6666666666666666,0.9866572860186118,0.5832402155912412,0.052698899815461164,3,0.002185792349726795,-0.0051681022506251395,0.004926437913176374
O2,2022,positive_return_ratio_63,MOMENTUM_CONSISTENCY,VOL_SCALED,40,1.0,0.0,0.02479473340364359,0.02059331797235023,0.07244577940415639,0.6666666666666666,0.3422522831222526,0.6481377888466683,0.10899458373529029,3,0.016976430309266943,0.009502639622117256,0.05265069913327181,0.6666666666666666,0.32243504053565253,0.6292723567055455,0.12167556447503576,3,-0.007818303094376648,-0.011090678350232976,-0.018865432141122795
O2,2021,sign_consistency_4x20,MOMENTUM_CONSISTENCY,VOL_SCALED,40,1.0,0.0,0.22074650365842366,0.29352597943873304,0.22904301679948777,0.6666666666666666,0.9637774892376345,0.5783137776780648,0.045476439481984654,3,0.2014633694544781,0.1465962767435399,0.2274145625038831,1.0,0.8858859663001489,0.596462365759067,0.06872563593183711,3,-0.019283134203945562,-0.14692970269519315,0.01814858808100217
O2,2022,sign_consistency_4x20,MOMENTUM_CONSISTENCY,VOL_SCALED,40,1.0,0.0,0.02479473340364359,0.02059331797235023,0.07244577940415639,0.6666666666666666,0.3422522831222526,0.6481377888466683,0.10899458373529029,3,0.07505188884464266,0.07512480798771122,0.07847167588108123,0.6666666666666666,0.9564201095740451,0.6242756975128968,0.1554987307560456,3,0.05025715544099907,0.05453149001536099,-0.023862091333771485
O2,2021,ret_5,REVERSAL,VOL_SCALED,40,1.0,0.0,0.22074650365842366,0.29352597943873304,0.22904301679948777,0.6666666666666666,0.9637774892376345,0.5783137776780648,0.045476439481984654,3,0.2170417708622766,0.23606557377049187,0.25341191456450995,0.6666666666666666,0.8564781621861163,0.5825890176849152,0.03171065413317297,3,-0.0037047327961470533,-0.05746040566824118,0.004275240006850423
O2,2022,ret_5,REVERSAL,VOL_SCALED,40,1.0,0.0,0.02479473340364359,0.02059331797235023,0.07244577940415639,0.6666666666666666,0.3422522831222526,0.6481377888466683,0.10899458373529029,3,0.0031240783516841425,0.017004723534315095,0.039439046981540916,0.6666666666666666,0.07921282563309247,0.6272338027095926,0.10701074697893835,3,-0.021670655051959448,-0.0035885944380351364,-0.02090398613707567
O2,2021,ret_10,REVERSAL,VOL_SCALED,40,1.0,0.0,0.22074650365842366,0.29352597943873304,0.22904301679948777,0.6666666666666666,0.9637774892376345,0.5783137776780648,0.045476439481984654,3,0.17247383532462726,0.1589886079466519,0.16180018305542793,1.0,1.0659681099714384,0.6033713329882472,0.07146075615445607,3,-0.0482726683337964,-0.13453737149208114,0.02505755531018239
O2,2022,ret_10,REVERSAL,VOL_SCALED,40,1.0,0.0,0.02479473340364359,0.02059331797235023,0.07244577940415639,0.6666666666666666,0.3422522831222526,0.6481377888466683,0.10899458373529029,3,0.06346990302961497,0.018241167434715825,0.14273511741116301,0.6666666666666666,0.4446691478648766,0.6459366576349925,0.1271526695022034,3,0.03867516962597138,-0.0023521505376344065,-0.0022011312116757553
O2,2021,ret_20,REVERSAL,VOL_SCALED,40,1.0,0.0,0.22074650365842366,0.29352597943873304,0.22904301679948777,0.6666666666666666,0.9637774892376345,0.5783137776780648,0.045476439481984654,3,0.16656478651477263,0.21267018616282302,0.13202316152849067,1.0,1.261633069427957,0.597446419409826,0.07369407955863809,3,-0.054181717143651026,-0.08085579327591003,0.019132641731761213
