date,equity,positions,cash_weight
2021-10-06,1.6686251743154745,60,0.0
2021-10-07,1.6937591394575635,60,0.0
2021-10-08,1.69816697506582,60,0.0
2021-10-11,1.7157155585079984,60,0.0
2021-10-12,1.711517602716214,60,0.0
2021-10-13,1.707620581184655,60,0.0
2021-10-14,1.7049489856444762,60,0.0
2021-10-15,1.7022310545444725,60,0.0
2021-10-18,1.711405656535409,60,0.0
2021-10-19,1.7282124697382704,60,0.0
2021-10-20,1.7257304411757728,60,0.0
2021-10-21,1.7488843612706442,60,0.0
2021-10-22,1.7729233464946006,60,0.0
2021-10-25,1.7874320967745394,60,0.0
2021-10-26,1.8077887757501794,60,0.0
2021-10-27,1.8182435624575044,60,0.0
2021-10-28,1.816184518807938,60,0.0
2021-11-01,1.8332609390186039,60,0.0
2021-11-02,1.829325922902247,60,0.0
2021-11-03,1.8426393159077261,60,0.0
2021-11-04,1.8833260830865677,60,0.0
2021-11-05,1.8924820707229693,60,0.0
2021-11-08,1.919701797318506,60,0.0
2021-11-09,1.9266787854347407,60,0.0
2021-11-10,1.9362361647977635,60,0.0
2021-11-11,1.9385721641560179,60,0.0
2021-11-12,1.9620403698876272,60,0.0
2021-11-15,2.0335094836765983,60,0.0
2021-11-16,2.0077625612596215,60,0.0
2021-11-17,2.0331650353085737,60,0.0
2021-11-18,2.054519005496556,60,0.0
2021-11-19,2.0588196669684975,60,0.0
2021-11-22,2.0845183028957193,60,0.0
2021-11-23,2.10060657723,60,0.0
2021-11-24,2.1427305233931424,60,0.0
2021-11-25,2.1528863277980865,60,0.0
2021-11-26,2.104527192652172,60,0.0
2021-11-29,2.1422232479549725,60,0.0
2021-11-30,2.146861223319037,60,0.0
2021-12-01,2.204067984306275,60,0.0
2021-12-02,2.2307592388707267,60,0.0
2021-12-03,2.268624454798871,60,0.0
2021-12-06,2.2904645970483366,60,0.0
2021-12-07,2.3422359562593136,60,0.0
2021-12-08,2.3782654043368794,60,0.0
2021-12-09,2.4048686126767165,60,0.0
2021-12-10,2.4050413816575142,60,0.0
2021-12-13,2.4614688557553324,60,0.0
2021-12-14,2.510229774495373,61,0.0
2021-12-15,2.4876202885551395,61,0.0
2021-12-16,2.5995195776032527,61,0.0
2021-12-17,2.3835490405310775,61,0.0
2021-12-20,2.3299216406069143,61,0.0
2021-12-21,2.1731530430396573,61,0.0
2021-12-22,2.0974550024911083,61,0.0
2021-12-23,2.1012165996996095,61,0.0
2021-12-24,2.19033498071065,61,0.0
2021-12-27,2.2060309589967595,61,0.0
2021-12-28,2.1596187501130406,61,0.0
2021-12-29,2.189742032433869,61,0.0
2021-12-30,2.161967482839962,61,0.0
2021-12-31,2.16992433332919,61,0.0
2022-01-03,2.2383522773667806,61,0.0
2022-01-04,2.278749812369928,61,0.0
2022-01-05,2.31472500718555,61,0.0
2022-01-06,2.315702540961436,61,0.0
2022-01-07,2.3405340719437113,61,0.0
2022-01-10,2.3606359681363633,61,0.0
2022-01-11,2.350117779303772,61,0.0
2022-01-12,2.3721893767463818,61,0.0
2022-01-13,2.39190286269049,61,0.0
2022-01-14,2.408142324025106,61,0.0
2022-01-17,2.4414838916946247,61,0.0
2022-01-18,2.319209129972657,61,0.0
2022-01-19,2.392848419962265,61,0.0
2022-01-20,2.3707226319187704,61,0.0
2022-01-21,2.3742890817832074,61,0.0
2022-01-24,2.274693609499321,61,0.0
2022-01-25,2.3068498746092327,61,0.0
2022-01-26,2.333264857113617,61,0.0
2022-01-27,2.392942074403321,61,0.0
2022-01-28,2.391523000495651,61,0.0
2022-01-31,2.40799331293044,61,0.0
2022-02-01,2.428249355445642,61,0.0
2022-02-02,2.400181501590689,61,0.0
2022-02-03,2.3590304198969774,61,0.0
2022-02-04,2.3519063317123576,61,0.0
2022-02-07,2.3932975245580588,61,0.0
2022-02-08,2.400744583230171,61,0.0
2022-02-09,2.439873354476008,61,0.0
2022-02-10,2.4358064150480505,61,0.0
2022-02-11,2.4434121135691615,61,0.0
2022-02-14,2.3911285178483137,61,0.0
2022-02-15,2.437413622930505,61,0.0
2022-02-16,2.445170545417728,61,0.0
2022-02-17,2.406858860133375,61,0.0
2022-02-18,2.4285585836855472,61,0.0
2022-02-21,2.4323821586612837,61,0.0
2022-02-22,2.3997268046630875,61,0.0
2022-02-23,2.3899658337516665,61,0.0
2022-02-24,2.1715447969130466,61,0.0
2022-02-25,2.287796284959205,61,0.0
2022-02-28,2.2607684381187987,61,0.0
2022-03-01,2.286275899457379,61,0.0
2022-03-02,2.3071226221050973,61,0.0
2022-03-03,2.3466041059216463,61,0.0
2022-03-04,2.327344974054887,61,0.0
2022-03-07,2.3354254344131395,61,0.0
2022-03-08,2.3484807906893903,61,0.0
2022-03-09,2.403133198719912,61,0.0
2022-03-10,2.395515927191264,61,0.0
2022-03-11,2.42012199943986,61,0.0
2022-03-14,2.47087085126841,61,0.0
2022-03-15,2.4691588328963294,61,0.0
2022-03-16,2.4861100329070256,61,0.0
2022-03-17,2.5229462293860547,61,0.0
2022-03-18,2.5370338340701153,61,0.0
2022-03-21,2.5855241018132435,61,0.0
2022-03-22,2.6325516916632914,61,0.0
2022-03-23,2.628841127365201,61,0.0
2022-03-24,2.6178107770151087,61,0.0
2022-03-25,2.620910888033328,61,0.0
2022-03-28,2.6355151549029023,61,0.0
2022-03-29,2.674986514955565,61,0.0
2022-03-30,2.6999358466598453,61,0.0
2022-03-31,2.7032981575470405,61,0.0
2022-04-01,2.719061354775622,61,0.0
2022-04-04,2.7808284188936017,61,0.0
2022-04-05,2.8072353117398965,61,0.0
2022-04-06,2.8126324631326343,61,0.0
2022-04-07,2.8604846292034414,61,0.0
2022-04-08,2.913267471381538,61,0.0
2022-04-11,2.9929853168044542,61,0.0
2022-04-12,3.0164189472688565,61,0.0
2022-04-13,2.990964572892303,61,0.0
2022-04-14,3.023875162339875,61,0.0
2022-04-15,3.05314392554428,61,0.0
2022-04-18,3.0862220467172072,61,0.0
2022-04-19,3.0901549467627385,61,0.0
2022-04-20,3.1005202088017585,61,0.0
2022-04-21,3.1363411128803214,61,0.0
2022-04-22,3.0344196938489,61,0.0
2022-04-25,3.0340004367498237,61,0.0
