observation_id,ticker,financial_period,field,local_stored_value_try,first_published_value_try,absolute_difference_try,relative_difference_pct,comparison_available,different_from_first
ISCTR.IS:2022Q1,ISCTR.IS,2022Q1,net_income,8431860704.0,8431886000.0,-25296.0,-0.0003000040560320668,True,True
ISCTR.IS:2022Q1,ISCTR.IS,2022Q1,equity,108379340861.0,112011422000.0,-3632081139.0,-3.2425989012084857,True,True
ISCTR.IS:2022Q1,ISCTR.IS,2022Q1,cfo,,,,,False,
ISCTR.IS:2023Q4,ISCTR.IS,2023Q4,revenue,149492355609.0,,,,False,
ISCTR.IS:2023Q4,ISCTR.IS,2023Q4,net_income,72264711282.0,72264798000.0,-86718.0,-0.00012000033543302785,True,True
ISCTR.IS:2023Q4,ISCTR.IS,2023Q4,equity,267797162643.0,269335765000.0,-1538602357.0,-0.5712580937774826,True,True
ISCTR.IS:2023Q4,ISCTR.IS,2023Q4,cfo,,,,,False,
ISCTR.IS:2024Q3,ISCTR.IS,2024Q3,revenue,248332777000.0,,,,False,
ISCTR.IS:2024Q3,ISCTR.IS,2024Q3,net_income,34684755378.0,34684797000.0,-41622.0,-0.00012000070232499847,True,True
ISCTR.IS:2024Q3,ISCTR.IS,2024Q3,equity,290553226336.0,289321695000.0,1231531336.0,0.4256615930582046,True,True
ISCTR.IS:2024Q3,ISCTR.IS,2024Q3,cfo,,,,,False,
AKBNK.IS:2022Q3,AKBNK.IS,2022Q3,revenue,46711235000.0,,,,False,
AKBNK.IS:2022Q3,AKBNK.IS,2022Q3,net_income,38223316000.0,38223316000.0,0.0,0.0,True,False
AKBNK.IS:2022Q3,AKBNK.IS,2022Q3,equity,126198293000.0,138004482000.0,-11806189000.0,-8.554931570990572,True,True
AKBNK.IS:2022Q3,AKBNK.IS,2022Q3,cfo,,,,,False,
AKBNK.IS:2023Q4,AKBNK.IS,2023Q4,revenue,124974756000.0,,,,False,
AKBNK.IS:2023Q4,AKBNK.IS,2023Q4,net_income,66478940000.0,66478940000.0,0.0,0.0,True,False
AKBNK.IS:2023Q4,AKBNK.IS,2023Q4,equity,211195427000.0,223315430000.0,-12120003000.0,-5.427302090142182,True,True
AKBNK.IS:2023Q4,AKBNK.IS,2023Q4,cfo,,,,,False,
AKBNK.IS:2024Q2,AKBNK.IS,2024Q2,revenue,130278691000.0,,,,False,
AKBNK.IS:2024Q2,AKBNK.IS,2024Q2,net_income,24108123000.0,24108123000.0,0.0,0.0,True,False
AKBNK.IS:2024Q2,AKBNK.IS,2024Q2,equity,221093198000.0,235111715000.0,-14018517000.0,-5.962491915811171,True,True
AKBNK.IS:2024Q2,AKBNK.IS,2024Q2,cfo,,,,,False,
ANSGR.IS:2022Q1,ANSGR.IS,2022Q1,revenue,1914211228.0,,,,False,
ANSGR.IS:2022Q1,ANSGR.IS,2022Q1,net_income,196686770.0,196686770.0,0.0,0.0,True,False
ANSGR.IS:2022Q1,ANSGR.IS,2022Q1,equity,3946069987.0,3946069987.0,0.0,0.0,True,False
ANSGR.IS:2022Q1,ANSGR.IS,2022Q1,cfo,,30615613.0,,,False,
ANSGR.IS:2023Q4,ANSGR.IS,2023Q4,revenue,23246572202.0,,,,False,
ANSGR.IS:2023Q4,ANSGR.IS,2023Q4,net_income,5909396707.0,5909396707.0,0.0,0.0,True,False
ANSGR.IS:2023Q4,ANSGR.IS,2023Q4,equity,14203844032.0,14203844032.0,0.0,0.0,True,False
ANSGR.IS:2023Q4,ANSGR.IS,2023Q4,cfo,,2787153931.0,,,False,
ANSGR.IS:2024Q3,ANSGR.IS,2024Q3,revenue,29538533392.0,,,,False,
ANSGR.IS:2024Q3,ANSGR.IS,2024Q3,net_income,7879164434.0,7879164434.0,0.0,0.0,True,False
ANSGR.IS:2024Q3,ANSGR.IS,2024Q3,equity,27675396621.0,27675396621.0,0.0,0.0,True,False
ANSGR.IS:2024Q3,ANSGR.IS,2024Q3,cfo,,6068481795.0,,,False,
TURSG.IS:2022Q3,TURSG.IS,2022Q3,revenue,4701809229.0,,,,False,
TURSG.IS:2022Q3,TURSG.IS,2022Q3,net_income,517588747.0,517588747.0,0.0,0.0,True,False
TURSG.IS:2022Q3,TURSG.IS,2022Q3,equity,4362053239.0,4362053239.0,0.0,0.0,True,False
TURSG.IS:2022Q3,TURSG.IS,2022Q3,cfo,,2017064103.0,,,False,
TURSG.IS:2023Q4,TURSG.IS,2023Q4,revenue,20257540273.0,,,,False,
TURSG.IS:2023Q4,TURSG.IS,2023Q4,net_income,6155335809.0,6155335809.0,0.0,0.0,True,False
TURSG.IS:2023Q4,TURSG.IS,2023Q4,equity,15425582306.0,15425582306.0,0.0,0.0,True,False
TURSG.IS:2023Q4,TURSG.IS,2023Q4,cfo,,7060073871.0,,,False,
TURSG.IS:2024Q2,TURSG.IS,2024Q2,revenue,19554356663.0,,,,False,
TURSG.IS:2024Q2,TURSG.IS,2024Q2,net_income,6569089716.0,6569089716.0,0.0,0.0,True,False
TURSG.IS:2024Q2,TURSG.IS,2024Q2,equity,21025768036.0,21025768036.0,0.0,0.0,True,False
TURSG.IS:2024Q2,TURSG.IS,2024Q2,cfo,,-2584940211.0,,,False,
