outer_fold,inner_validation_year,target_family,horizon_sessions,train_observations,train_last_label_end,signal_dates,observations,rank_ic_mean,rank_ic_median,positive_ic_ratio,ndcg_at_10_mean,top_k_spread_raw_mean
O1,2021,VOL_SCALED,20,476,2020-10-13,4,241,-0.09644143982647513,-0.08463462072798002,0.0,0.47582137102784156,-0.05230575092679274
O1,2021,VOL_SCALED,40,475,2020-11-11,3,180,0.22074650365842366,0.29352597943873304,0.6666666666666666,0.5783137776780648,0.045476439481984654
O1,2021,VOL_SCALED,60,419,2020-12-09,3,180,-0.03252755395017135,-0.12258960822450683,0.3333333333333333,0.4333611844763278,0.01644997282639289
O2,2021,RAW,20,476,2020-10-13,4,241,0.050336338947198585,0.09869990768044888,0.75,0.5063308650691366,0.017831079547365267
O2,2021,RAW,40,475,2020-11-11,3,180,0.09763823284245626,0.18588496804667967,0.6666666666666666,0.46487053025910013,0.04493666872289163
O2,2021,RAW,60,419,2020-12-09,3,180,-0.04666110956747247,-0.1718255070853015,0.3333333333333333,0.458223807405117,0.033358495612913035
O2,2021,SECTOR_RELATIVE,20,476,2020-10-13,4,241,-0.015316363353977694,-0.0013325141431304605,0.5,0.46125946550456004,0.01797358635235186
O2,2021,SECTOR_RELATIVE,40,475,2020-11-11,3,180,0.0415306316234155,0.001305936453813913,0.6666666666666666,0.42988932657227563,0.04485673148799787
O2,2021,SECTOR_RELATIVE,60,419,2020-12-09,3,180,-0.05485859302084969,-0.06646382973452936,0.3333333333333333,0.4040228158373596,-0.004641303960282626
O2,2021,BETA_RESIDUAL,20,476,2020-10-13,4,241,0.09097621203022349,0.15238865634719326,0.75,0.5062481425850311,0.018954533144995234
O2,2021,BETA_RESIDUAL,40,475,2020-11-11,3,180,0.12144114105770125,0.1780494581828286,0.6666666666666666,0.47343826207165063,0.03475144955451175
O2,2021,BETA_RESIDUAL,60,419,2020-12-09,3,180,-0.06637028804297491,-0.22239510975270915,0.3333333333333333,0.44374476149055136,0.04367699326697378
O2,2021,VOL_SCALED,20,476,2020-10-13,4,241,-0.09644143982647513,-0.08463462072798002,0.0,0.47582137102784156,-0.05230575092679274
O2,2021,VOL_SCALED,40,475,2020-11-11,3,180,0.22074650365842366,0.29352597943873304,0.6666666666666666,0.5783137776780648,0.045476439481984654
O2,2021,VOL_SCALED,60,419,2020-12-09,3,180,-0.03252755395017135,-0.12258960822450683,0.3333333333333333,0.4333611844763278,0.01644997282639289
O2,2022,RAW,20,777,2021-12-28,4,252,0.021896982543056956,0.02439461443676326,0.5,0.49621390091948014,0.018050968855158632
O2,2022,RAW,40,715,2021-11-02,3,186,0.11722787535423662,0.02966589861751152,1.0,0.6862082123879011,0.12697018301637153
O2,2022,RAW,60,659,2021-11-30,3,186,0.15104021683783989,0.1557699692780338,1.0,0.6791959027597133,0.22067536345762306
O2,2022,SECTOR_RELATIVE,20,777,2021-12-28,4,252,0.015223513276807689,-0.008171837602077972,0.5,0.5085283614995935,0.02128048417343384
O2,2022,SECTOR_RELATIVE,40,715,2021-11-02,3,186,0.09108717632851393,0.003168354859394606,0.6666666666666666,0.6826686415112064,0.1336332534256536
O2,2022,SECTOR_RELATIVE,60,659,2021-11-30,3,186,0.13083083736089757,0.10258748991706475,1.0,0.691232867890049,0.21698420346490357
O2,2022,BETA_RESIDUAL,20,777,2021-12-28,4,252,-0.04412593603700957,-0.025691613494032872,0.5,0.49139689537232817,-0.04463221541026134
O2,2022,BETA_RESIDUAL,40,715,2021-11-02,3,186,0.04527727840711287,-0.011664746543778803,0.3333333333333333,0.6623525512540983,0.10748429530315272
O2,2022,BETA_RESIDUAL,60,659,2021-11-30,3,186,0.12660221068263403,0.09634216589861752,1.0,0.6761893956367061,0.21445071907674182
O2,2022,VOL_SCALED,20,777,2021-12-28,4,252,-0.07120044636431638,-0.04067130511194833,0.5,0.4491290348591606,-0.10109774165711231
O2,2022,VOL_SCALED,40,715,2021-11-02,3,186,0.02479473340364359,0.02059331797235023,0.6666666666666666,0.6481377888466683,0.10899458373529029
O2,2022,VOL_SCALED,60,659,2021-11-30,3,186,0.12790635238610262,0.14074500768049156,0.6666666666666666,0.6595486902972993,0.25670552763645826
O3,2022,RAW,20,777,2021-12-28,4,252,0.021896982543056956,0.02439461443676326,0.5,0.49621390091948014,0.018050968855158632
O3,2022,RAW,40,715,2021-11-02,3,186,0.11722787535423662,0.02966589861751152,1.0,0.6862082123879011,0.12697018301637153
O3,2022,RAW,60,659,2021-11-30,3,186,0.15104021683783989,0.1557699692780338,1.0,0.6791959027597133,0.22067536345762306
O3,2022,SECTOR_RELATIVE,20,777,2021-12-28,4,252,0.015223513276807689,-0.008171837602077972,0.5,0.5085283614995935,0.02128048417343384
O3,2022,SECTOR_RELATIVE,40,715,2021-11-02,3,186,0.09108717632851393,0.003168354859394606,0.6666666666666666,0.6826686415112064,0.1336332534256536
O3,2022,SECTOR_RELATIVE,60,659,2021-11-30,3,186,0.13083083736089757,0.10258748991706475,1.0,0.691232867890049,0.21698420346490357
O3,2022,BETA_RESIDUAL,20,777,2021-12-28,4,252,-0.04412593603700957,-0.025691613494032872,0.5,0.49139689537232817,-0.04463221541026134
O3,2022,BETA_RESIDUAL,40,715,2021-11-02,3,186,0.04527727840711287,-0.011664746543778803,0.3333333333333333,0.6623525512540983,0.10748429530315272
O3,2022,BETA_RESIDUAL,60,659,2021-11-30,3,186,0.12660221068263403,0.09634216589861752,1.0,0.6761893956367061,0.21445071907674182
O3,2022,VOL_SCALED,20,777,2021-12-28,4,252,-0.07120044636431638,-0.04067130511194833,0.5,0.4491290348591606,-0.10109774165711231
O3,2022,VOL_SCALED,40,715,2021-11-02,3,186,0.02479473340364359,0.02059331797235023,0.6666666666666666,0.6481377888466683,0.10899458373529029
O3,2022,VOL_SCALED,60,659,2021-11-30,3,186,0.12790635238610262,0.14074500768049156,0.6666666666666666,0.6595486902972993,0.25670552763645826
O3,2023,RAW,20,1029,2022-12-09,4,263,0.0046156101408480425,-0.009469394292491804,0.5,0.6284463105120788,0.10330063519532805
O3,2023,RAW,40,962,2022-10-14,4,263,-0.17304185848267212,-0.10970548327879322,0.25,0.5164827441769472,0.02414890060367736
O3,2023,RAW,60,906,2022-11-11,3,196,-0.09498153806191413,-0.009178705403463964,0.3333333333333333,0.5510384331562783,0.15354438481078808
O3,2023,SECTOR_RELATIVE,20,1029,2022-12-09,4,263,-0.004105562944478735,-0.005534126650879791,0.5,0.5819437027997997,0.030292693058356933
O3,2023,SECTOR_RELATIVE,40,962,2022-10-14,4,263,-0.15948727379921082,-0.11037088783932196,0.5,0.5182982969433552,0.03279696549641904
O3,2023,SECTOR_RELATIVE,60,906,2022-11-11,3,196,-0.05032230925982999,0.03531947163286837,0.6666666666666666,0.5487552615548373,0.12279291536461896
O3,2023,BETA_RESIDUAL,20,1029,2022-12-09,4,263,-0.06100374936480815,-0.024324584628791772,0.5,0.5658041059781649,0.05334677568150355
O3,2023,BETA_RESIDUAL,40,962,2022-10-14,4,263,-0.18226970719965602,-0.105259490290219,0.0,0.4684125518797797,-0.03192111623682402
O3,2023,BETA_RESIDUAL,60,906,2022-11-11,3,196,-0.04771356261893377,0.059940937026099456,0.6666666666666666,0.5509030687776535,0.043194004804960225
O3,2023,VOL_SCALED,20,1029,2022-12-09,4,263,0.031732506692237226,0.13449652796296005,0.75,0.5236947633815123,-0.057770200712116415
O3,2023,VOL_SCALED,40,962,2022-10-14,4,263,-0.17349172124676424,-0.09999386039772346,0.0,0.4446413822186827,-0.022187549960603216
O3,2023,VOL_SCALED,60,906,2022-11-11,3,196,0.05384318806144687,0.15168808364594144,0.6666666666666666,0.5577188087546538,0.11779228205130504
O4,2023,RAW,20,1029,2022-12-09,4,263,0.0046156101408480425,-0.009469394292491804,0.5,0.6284463105120788,0.10330063519532805
O4,2023,RAW,40,962,2022-10-14,4,263,-0.17304185848267212,-0.10970548327879322,0.25,0.5164827441769472,0.02414890060367736
O4,2023,RAW,60,906,2022-11-11,3,196,-0.09498153806191413,-0.009178705403463964,0.3333333333333333,0.5510384331562783,0.15354438481078808
O4,2023,SECTOR_RELATIVE,20,1029,2022-12-09,4,263,-0.004105562944478735,-0.005534126650879791,0.5,0.5819437027997997,0.030292693058356933
O4,2023,SECTOR_RELATIVE,40,962,2022-10-14,4,263,-0.15948727379921082,-0.11037088783932196,0.5,0.5182982969433552,0.03279696549641904
O4,2023,SECTOR_RELATIVE,60,906,2022-11-11,3,196,-0.05032230925982999,0.03531947163286837,0.6666666666666666,0.5487552615548373,0.12279291536461896
O4,2023,BETA_RESIDUAL,20,1029,2022-12-09,4,263,-0.06100374936480815,-0.024324584628791772,0.5,0.5658041059781649,0.05334677568150355
O4,2023,BETA_RESIDUAL,40,962,2022-10-14,4,263,-0.18226970719965602,-0.105259490290219,0.0,0.4684125518797797,-0.03192111623682402
O4,2023,BETA_RESIDUAL,60,906,2022-11-11,3,196,-0.04771356261893377,0.059940937026099456,0.6666666666666666,0.5509030687776535,0.043194004804960225
O4,2023,VOL_SCALED,20,1029,2022-12-09,4,263,0.031732506692237226,0.13449652796296005,0.75,0.5236947633815123,-0.057770200712116415
O4,2023,VOL_SCALED,40,962,2022-10-14,4,263,-0.17349172124676424,-0.09999386039772346,0.0,0.4446413822186827,-0.022187549960603216
O4,2023,VOL_SCALED,60,906,2022-11-11,3,196,0.05384318806144687,0.15168808364594144,0.6666666666666666,0.5577188087546538,0.11779228205130504
O4,2024,RAW,20,1292,2023-11-27,4,299,0.12099732521308118,0.15848113691264884,0.75,0.6800087078305606,0.07014180694567432
O4,2024,RAW,40,1290,2023-12-26,4,297,-0.005874716188698139,0.06025236033095737,0.75,0.5322300741015358,0.03165455748999425
O4,2024,RAW,60,1167,2023-10-30,2,149,0.014060094701767362,0.014060094701767362,0.5,0.5925773409646518,0.049363305386189986
O4,2024,SECTOR_RELATIVE,20,1292,2023-11-27,4,299,0.12336584616676101,0.16482324540287935,0.75,0.6371757275062825,0.04463516921176751
O4,2024,SECTOR_RELATIVE,40,1290,2023-12-26,4,297,0.0011790810691907072,0.043615391487670754,0.5,0.5449501306462504,0.0167077146730407
O4,2024,SECTOR_RELATIVE,60,1167,2023-10-30,2,149,0.03159816262561407,0.03159816262561407,0.5,0.5381504424978252,0.07946818937579092
O4,2024,BETA_RESIDUAL,20,1292,2023-11-27,4,299,0.11072327864086345,0.11377941645669133,0.75,0.6501007540475596,0.0441388182011628
O4,2024,BETA_RESIDUAL,40,1290,2023-12-26,4,297,-0.02933706374763678,-0.03223401759445709,0.25,0.4845760126164458,-0.043464944032301236
O4,2024,BETA_RESIDUAL,60,1167,2023-10-30,2,149,0.09233539234981195,0.09233539234981195,1.0,0.5846075310876019,0.1116424541940726
O4,2024,VOL_SCALED,20,1292,2023-11-27,4,299,0.11710577807407523,0.11564825600590298,0.75,0.5736079278271198,0.012051302439633293
O4,2024,VOL_SCALED,40,1290,2023-12-26,4,297,0.005655503726576159,0.00405774842628118,0.5,0.5208099928503496,-0.043009463887001005
O4,2024,VOL_SCALED,60,1167,2023-10-30,2,149,0.05831387984956839,0.05831387984956839,0.5,0.46593612116965094,0.07011232104410542
