symbol,anchor_type,anchor_date,session_offset,date,raw_close_provider_label,provider_adjusted_close,research_close,economic_return,price_quality,corporate_action_flag,trading_status
KBORU.IS,OFFICIAL_EX_DATE,2025-06-04,-2,2025-06-02,11.166666030883789,10.98171329498291,,0.05015669257850641,UNRESOLVED,PROVIDER_EARLY_ADJUSTMENT,TRADED_PROVIDER
KBORU.IS,OFFICIAL_EX_DATE,2025-06-04,-1,2025-06-03,11.5,11.309526443481445,,0.029850804904015593,UNRESOLVED,PROVIDER_EARLY_ADJUSTMENT,TRADED_PROVIDER
KBORU.IS,OFFICIAL_EX_DATE,2025-06-04,0,2025-06-04,11.979999542236328,11.781575202941895,71.95898887789951,0.041739090629245856,RECONSTRUCTED,BONUS_ISSUE,TRADED_PROVIDER
KBORU.IS,OFFICIAL_EX_DATE,2025-06-04,1,2025-06-05,11.8100004196167,11.614392280578613,70.93787323171686,-0.014190244500451366,PROVIDER_ONLY,NONE,TRADED_PROVIDER
KBORU.IS,OFFICIAL_EX_DATE,2025-06-04,2,2025-06-10,12.989999771118164,12.774847030639648,78.02564981394968,0.09991526753389923,PROVIDER_ONLY,NONE,TRADED_PROVIDER
CVKMD.IS,PROVIDER_ADJUSTED_DATE,2026-08-03,-2,2026-07-30,37.13999938964844,37.13999938964844,37.13999938964822,0.02370453801785466,PROVIDER_ONLY,NONE,TRADED_PROVIDER
CVKMD.IS,PROVIDER_ADJUSTED_DATE,2026-08-03,-1,2026-07-31,37.81999969482422,37.81999969482422,37.819999694824,0.018309109217845343,PROVIDER_ONLY,NONE,TRADED_PROVIDER
CVKMD.IS,PROVIDER_ADJUSTED_DATE,2026-08-03,0,2026-08-03,14.417084693908691,14.417084693908691,,0.029247196923712027,UNRESOLVED,PROVIDER_EARLY_ADJUSTMENT,TRADED_PROVIDER
CVKMD.IS,PROVIDER_ADJUSTED_DATE,2026-08-03,1,2026-08-04,14.888888359069824,14.888888359069824,,0.032725316884659295,UNRESOLVED,PROVIDER_EARLY_ADJUSTMENT,TRADED_PROVIDER
CVKMD.IS,PROVIDER_ADJUSTED_DATE,2026-08-03,2,2026-08-05,15.210000038146973,15.210000038146973,39.400797177969935,-0.019880632337259563,RECONSTRUCTED,RIGHTS_ISSUE,TRADED_PROVIDER
CVKMD.IS,OFFICIAL_EX_DATE,2026-08-05,-2,2026-08-03,14.417084693908691,14.417084693908691,,0.029247196923712027,UNRESOLVED,PROVIDER_EARLY_ADJUSTMENT,TRADED_PROVIDER
CVKMD.IS,OFFICIAL_EX_DATE,2026-08-05,-1,2026-08-04,14.888888359069824,14.888888359069824,,0.032725316884659295,UNRESOLVED,PROVIDER_EARLY_ADJUSTMENT,TRADED_PROVIDER
CVKMD.IS,OFFICIAL_EX_DATE,2026-08-05,0,2026-08-05,15.210000038146973,15.210000038146973,39.400797177969935,-0.019880632337259563,RECONSTRUCTED,RIGHTS_ISSUE,TRADED_PROVIDER
CVKMD.IS,OFFICIAL_EX_DATE,2026-08-05,1,2026-08-06,16.600000381469727,16.600000381469727,43.001528372395406,0.09138726757637117,PROVIDER_ONLY,NONE,TRADED_PROVIDER
CVKMD.IS,OFFICIAL_EX_DATE,2026-08-05,2,2026-08-07,15.90999984741211,15.90999984741211,41.21411410369648,-0.041566296277188775,PROVIDER_ONLY,NONE,TRADED_PROVIDER
