signal_date,trade_date,cost_bps,turnover_two_sided_notional,cost_value,selected,unfilled_total,outer_fold,target_family,horizon_sessions
2023-05-05,2023-05-08,50,1.2122121948223399,0.004847460350558159,10,0,O2,BETA_RESIDUAL,40
2023-08-03,2023-08-04,50,0.6184680258672542,0.004742813726739121,10,0,O2,BETA_RESIDUAL,40
2023-02-02,2023-02-03,100,0.9999999999999999,0.009999999999999998,10,0,O2,BETA_RESIDUAL,40
2023-05-05,2023-05-08,100,1.2173219199506005,0.00967492070111632,10,0,O2,BETA_RESIDUAL,40
2023-08-03,2023-08-04,100,0.620445519261641,0.009426325301201103,10,0,O2,BETA_RESIDUAL,40
2023-02-02,2023-02-03,0,0.9999999999999999,0.0,10,0,O2,VOL_SCALED,40
2023-05-05,2023-05-08,0,1.2071659626081535,0.0,10,0,O2,VOL_SCALED,40
2023-08-03,2023-08-04,0,0.8184447874933616,0.0,10,0,O2,VOL_SCALED,40
2023-02-02,2023-02-03,30,0.9999999999999999,0.0029999999999999996,10,0,O2,VOL_SCALED,40
2023-05-05,2023-05-08,30,1.2101861493072832,0.0029108762103348964,10,0,O2,VOL_SCALED,40
2023-08-03,2023-08-04,30,0.8196082463877394,0.0038045316403499895,10,0,O2,VOL_SCALED,40
2023-02-02,2023-02-03,50,0.9999999999999999,0.004999999999999999,10,0,O2,VOL_SCALED,40
2023-05-05,2023-05-08,50,1.2122121948223399,0.004847460350558159,10,0,O2,VOL_SCALED,40
2023-08-03,2023-08-04,50,0.8203895813361568,0.0063231250206999805,10,0,O2,VOL_SCALED,40
2023-02-02,2023-02-03,100,0.9999999999999999,0.009999999999999998,10,0,O2,VOL_SCALED,40
2023-05-05,2023-05-08,100,1.2173219199506005,0.00967492070111632,10,0,O2,VOL_SCALED,40
2023-08-03,2023-08-04,100,0.8223631965094391,0.012557472808649956,10,0,O2,VOL_SCALED,40
2024-01-23,2024-01-24,0,0.9999999999999999,0.0,10,0,O3,RAW,60
2024-04-19,2024-04-22,0,1.0615766979418375,0.0,10,0,O3,RAW,60
2024-07-22,2024-07-23,0,1.222561240471698,0.0,10,0,O3,RAW,60
2024-01-23,2024-01-24,30,0.9999999999999999,0.0029999999999999996,10,0,O3,RAW,60
2024-04-19,2024-04-22,30,1.0630740041606852,0.004227421768764314,10,0,O3,RAW,60
2024-07-22,2024-07-23,30,1.2248892181592603,0.005488871630783172,10,0,O3,RAW,60
2024-01-23,2024-01-24,50,0.9999999999999999,0.004999999999999999,10,0,O3,RAW,60
2024-04-19,2024-04-22,50,1.0640759792873467,0.007041702947940525,10,0,O3,RAW,60
2024-07-22,2024-07-23,50,1.226452218936993,0.00912867514469484,10,0,O3,RAW,60
2024-01-23,2024-01-24,100,0.9999999999999999,0.009999999999999998,10,0,O3,RAW,60
2024-04-19,2024-04-22,100,1.0665942156359758,0.014063405895881047,10,0,O3,RAW,60
2024-07-22,2024-07-23,100,1.230398864092439,0.018160185089670808,10,0,O3,RAW,60
2024-01-23,2024-01-24,0,0.9999999999999999,0.0,10,0,O3,SECTOR_RELATIVE,60
2024-04-19,2024-04-22,0,1.4,0.0,10,0,O3,SECTOR_RELATIVE,60
2024-07-22,2024-07-23,0,1.603587642364954,0.0,10,0,O3,SECTOR_RELATIVE,60
2024-01-23,2024-01-24,30,0.9999999999999999,0.0029999999999999996,10,0,O3,SECTOR_RELATIVE,60
2024-04-19,2024-04-22,30,1.4024976664954858,0.005053708740246984,10,0,O3,SECTOR_RELATIVE,60
2024-07-22,2024-07-23,30,1.6065301608941944,0.006651726592012061,10,0,O3,SECTOR_RELATIVE,60
2024-01-23,2024-01-24,50,0.9999999999999999,0.004999999999999999,10,0,O3,SECTOR_RELATIVE,60
2024-04-19,2024-04-22,50,1.4041697205400023,0.008418847900411641,10,0,O3,SECTOR_RELATIVE,60
2024-07-22,2024-07-23,50,1.6085097380778774,0.011054256998273223,10,0,O3,SECTOR_RELATIVE,60
2024-01-23,2024-01-24,100,0.9999999999999999,0.009999999999999998,10,0,O3,SECTOR_RELATIVE,60
2024-04-19,2024-04-22,100,1.4083743598201557,0.01681769580082328,10,0,O3,SECTOR_RELATIVE,60
2024-07-22,2024-07-23,100,1.6135225283030685,0.02194885605447872,10,0,O3,SECTOR_RELATIVE,60
2024-01-23,2024-01-24,0,0.9999999999999999,0.0,10,0,O3,BETA_RESIDUAL,60
2024-04-19,2024-04-22,0,2.0,0.0,10,0,O3,BETA_RESIDUAL,60
2024-07-22,2024-07-23,0,1.8000000000000005,0.0,10,0,O3,BETA_RESIDUAL,60
2024-01-23,2024-01-24,30,0.9999999999999999,0.0029999999999999996,10,0,O3,BETA_RESIDUAL,60
2024-04-19,2024-04-22,30,2.002695878604179,0.006685858509911783,10,0,O3,BETA_RESIDUAL,60
2024-07-22,2024-07-23,30,1.8051087764104565,0.007087040557918291,10,0,O3,BETA_RESIDUAL,60
2024-01-23,2024-01-24,50,0.9999999999999999,0.004999999999999999,10,0,O3,BETA_RESIDUAL,60
2024-04-19,2024-04-22,50,2.0045012208369295,0.01113309751651964,10,0,O3,BETA_RESIDUAL,60
2024-07-22,2024-07-23,50,1.808551493662998,0.011772668574684033,10,0,O3,BETA_RESIDUAL,60
2024-01-23,2024-01-24,100,0.9999999999999999,0.009999999999999998,10,0,O3,BETA_RESIDUAL,60
2024-04-19,2024-04-22,100,2.009043146875004,0.022216195033039274,10,0,O3,BETA_RESIDUAL,60
2024-07-22,2024-07-23,100,1.8172902680275564,0.02335028870680248,10,0,O3,BETA_RESIDUAL,60
2024-01-23,2024-01-24,0,0.9999999999999999,0.0,10,0,O3,VOL_SCALED,60
2024-04-19,2024-04-22,0,1.258624049257098,0.0,10,0,O3,VOL_SCALED,60
2024-07-22,2024-07-23,0,1.2180864456748872,0.0,10,0,O3,VOL_SCALED,60
2024-01-23,2024-01-24,30,0.9999999999999999,0.0029999999999999996,10,0,O3,VOL_SCALED,60
2024-04-19,2024-04-22,30,1.2602683648826278,0.004543159091041793,10,0,O3,VOL_SCALED,60
2024-07-22,2024-07-23,30,1.220763674623732,0.005084221729352221,10,0,O3,VOL_SCALED,60
2024-01-23,2024-01-24,50,0.9999999999999999,0.004999999999999999,10,0,O3,VOL_SCALED,60
2024-04-19,2024-04-22,50,1.2613691442213242,0.007565931818402988,10,0,O3,VOL_SCALED,60
2024-07-22,2024-07-23,50,1.2225621773183841,0.008453538626895527,10,0,O3,VOL_SCALED,60
2024-01-23,2024-01-24,100,0.9999999999999999,0.009999999999999998,10,0,O3,VOL_SCALED,60
2024-04-19,2024-04-22,100,1.2641372176522725,0.015101863636805976,10,0,O3,VOL_SCALED,60
2024-07-22,2024-07-23,100,1.2271071214496205,0.01680633997700017,10,0,O3,VOL_SCALED,60
2025-01-10,2025-01-13,0,0.9999999999999999,0.0,10,0,O4,RAW,20
2025-01-10,2025-01-13,30,0.9999999999999999,0.0029999999999999996,10,0,O4,RAW,20
2025-01-10,2025-01-13,50,0.9999999999999999,0.004999999999999999,10,0,O4,RAW,20
2025-01-10,2025-01-13,100,0.9999999999999999,0.009999999999999998,10,0,O4,RAW,20
2025-01-10,2025-01-13,0,0.9999999999999999,0.0,10,0,O4,SECTOR_RELATIVE,20
2025-01-10,2025-01-13,30,0.9999999999999999,0.0029999999999999996,10,0,O4,SECTOR_RELATIVE,20
2025-01-10,2025-01-13,50,0.9999999999999999,0.004999999999999999,10,0,O4,SECTOR_RELATIVE,20
2025-01-10,2025-01-13,100,0.9999999999999999,0.009999999999999998,10,0,O4,SECTOR_RELATIVE,20
2025-01-10,2025-01-13,0,0.9999999999999999,0.0,10,0,O4,BETA_RESIDUAL,20
2025-01-10,2025-01-13,30,0.9999999999999999,0.0029999999999999996,10,0,O4,BETA_RESIDUAL,20
2025-01-10,2025-01-13,50,0.9999999999999999,0.004999999999999999,10,0,O4,BETA_RESIDUAL,20
2025-01-10,2025-01-13,100,0.9999999999999999,0.009999999999999998,10,0,O4,BETA_RESIDUAL,20
2025-01-10,2025-01-13,0,0.9999999999999999,0.0,10,0,O4,VOL_SCALED,20
2025-01-10,2025-01-13,30,0.9999999999999999,0.0029999999999999996,10,0,O4,VOL_SCALED,20
2025-01-10,2025-01-13,50,0.9999999999999999,0.004999999999999999,10,0,O4,VOL_SCALED,20
2025-01-10,2025-01-13,100,0.9999999999999999,0.009999999999999998,10,0,O4,VOL_SCALED,20
