outer_fold,architecture,family,case,signal_dates,observations,rank_ic_mean,rank_ic_median,positive_ic_ratio,ndcg_at_10_mean,top_k_spread_raw_mean,prediction_dispersion_mean,net_return,cagr,sharpe,daily_maxdd,worst_day,daily_observations,mean_turnover_two_sided,total_turnover_two_sided,attempted_trades,filled_trades,unfilled_trades,fill_rate,terminal_liquidation_cost_try,mean_cash_weight,mean_holdings,adv_missing_checks,order_adv_median,order_adv_p90,order_adv_p95,order_adv_max,order_adv_gt_10pct
O2,LGBM_REGRESSION,FEATURE_NOISE,MODERATE,4,263,-0.06092151077329604,-0.08718721371696374,0.25,0.4998359017969993,0.017795922766937103,0.07500110252103513,1.02959281339154,1.6938442529630215,2.2486952427920985,-0.32202280559847585,-0.07401906625127819,180,1.3243183644749235,5.297273457899694,46,46,0,1.0,10191.111545830041,0.0024513625004231,10.0,0,0.00018848068719407683,0.0027170711698087592,0.006796412184883437,0.009060851107979414,0.0
O2,LGBM_REGRESSION,RANK_NOISE,MILD,4,263,-0.05071167335949332,-0.04587928586324888,0.25,0.49880957037838314,0.006244470804147237,0.07562065487960276,0.9402040101892519,1.5292185421654252,2.134002697098401,-0.27184613536277114,-0.088937811333204,180,1.3188514788184196,5.275405915273678,46,46,0,1.0,9742.264861514599,0.0025899242868795825,10.0,0,0.00019705187401650078,0.0038578610202952145,0.00824900101397986,0.019754842659131102,0.0
O2,LGBM_REGRESSION,RANK_NOISE,MODERATE,4,263,-0.04795464777830286,-0.04541505757334229,0.25,0.507519237981668,0.004185469810832107,0.07592556870074757,0.8832648427842678,1.4259171154523895,2.000466494633237,-0.2940513878293435,-0.09450606549677187,180,1.269204098863279,5.076816395453116,45,45,0,1.0,9456.338037932426,0.0028546421922357543,10.0,0,0.00017536589065569037,0.0026341063394424973,0.006997266266581575,0.008402032423132233,0.0
O2,LGBM_REGRESSION,PARAMETER,LOW_COMPLEXITY,4,263,-0.05191320054426414,-0.06582244573190692,0.25,0.5181768538416871,0.020524481775805178,0.06742536576585959,0.9429146206981327,1.5341668351975235,2.11122465656239,-0.2741464274260119,-0.0892227230839262,180,1.315600969460295,5.26240387784118,46,46,0,1.0,9755.87414562299,0.0025887981789668698,10.0,0,0.00019718617146955374,0.0031843151293727535,0.0038949910507372195,0.019754842659131102,0.0
O2,LGBM_REGRESSION,PARAMETER,HIGH_COMPLEXITY,4,263,-0.04117203987755816,-0.03159588437207918,0.5,0.5237147969971409,0.018482934272362778,0.08007598728539773,0.8929403817390404,1.4433839145348428,2.0407682550298833,-0.2908623954519348,-0.09445702513685661,180,1.2670475342045926,5.06819013681837,45,45,0,1.0,9504.919810245796,0.0028649954430547556,10.0,0,0.00017536589065569037,0.002714052043845186,0.006997266266581575,0.008513477571858767,0.0
O2,LAMBDAMART,BASE,BASE,4,263,-0.05679537466115049,-0.0635779231737182,0.5,0.45848348649413495,-0.07381661949775767,0.3823970283445882,0.4854187091807063,0.7401570507034358,1.328498534955312,-0.30367719010744687,-0.09136156923324823,180,1.4909610070102632,5.963844028041053,50,50,0,1.0,7464.092938954939,0.0016946553330209248,10.0,0,0.0003079468360739556,0.003798452971588007,0.006707383077636825,0.019754842659131102,0.0
O2,LAMBDAMART,ABLATION,WITHOUT_mom_12_1,4,263,-0.0562351545553792,-0.0789928784372068,0.5,0.4947806394484756,-0.06322010454891408,0.44749352329462366,0.9575325859095523,1.56089988324868,2.1468615843076653,-0.27561723367876645,-0.09110381334345174,180,1.4126382642945137,5.650553057178055,48,48,0,1.0,9836.465392954144,0.002122569819513316,10.0,0,0.0002340396835318681,0.0033110431434047695,0.00548757751725777,0.019754842659131102,0.0
O2,LAMBDAMART,ABLATION,WITHOUT_mom_63,4,263,-0.014095313937185019,-0.009074909945538757,0.5,0.5392172776011658,-0.02084347437819255,0.42220812882061787,1.3326999372008048,2.2734252549739478,2.7223605244269238,-0.20077724079108217,-0.08351824427085774,180,1.2946182273537108,5.178472909414843,46,46,0,1.0,11714.019274582826,0.00258314930928849,10.0,0,0.00023075788662449393,0.0031212039688909097,0.006483978643803303,0.010395993236460682,0.0
O2,LAMBDAMART,ABLATION,WITHOUT_vol_63,4,263,-0.053648454596582316,-0.05187105333577608,0.25,0.49003922527232935,-0.03830356821661597,0.34707452665293614,0.5156478515240566,0.7899365302336403,1.4345071916499124,-0.24750098768799333,-0.0914794445645909,180,1.2813502545715059,5.1254010182860235,45,45,0,1.0,7603.5161486511915,0.0028980662667510075,10.0,0,0.00019125908203792202,0.0030086235165318084,0.003697705442859793,0.019754842659131102,0.0
O2,LAMBDAMART,FEATURE_NOISE,MILD,4,263,-0.05245668907424965,-0.059729615572920905,0.5,0.46310316783367667,-0.08435553550753373,0.38590941984122784,0.3467009739823699,0.5169792624900722,1.0082023958619137,-0.3217198823182965,-0.09385185632925563,180,1.49089827580652,5.96359310322608,50,50,0,1.0,6767.0315304695305,0.0017224189455008663,10.0,0,0.000301792994332705,0.0030051447189064716,0.00486590318681164,0.008113031549871082,0.0
O2,LAMBDAMART,FEATURE_NOISE,MODERATE,4,263,-0.04184368564330291,-0.055007652028039394,0.5,0.4624680252933398,-0.07027285337390096,0.39601573627356473,0.42318596037341427,0.6389522889536356,1.190318676194097,-0.3156126908480331,-0.09685254789893194,180,1.349987335730117,5.399949342920468,47,47,0,1.0,7138.718178062448,0.0024879007136372334,10.0,0,0.0001993516584751673,0.004564370783388729,0.006823821501270126,0.010365870418818928,0.0
O2,LAMBDAMART,RANK_NOISE,MILD,4,263,-0.05593843659585575,-0.06091510449508764,0.5,0.45580141309720024,-0.07848348662673058,0.38398080980380506,0.4854187091807063,0.7401570507034358,1.328498534955312,-0.30367719010744687,-0.09136156923324823,180,1.4909610070102632,5.963844028041053,50,50,0,1.0,7464.092938954939,0.0016946553330209248,10.0,0,0.0003079468360739556,0.003798452971588007,0.006707383077636825,0.019754842659131102,0.0
O2,LAMBDAMART,RANK_NOISE,MODERATE,4,263,-0.058060385999836636,-0.06086895621229997,0.5,0.45735652394685333,-0.07848348662673058,0.3859092173050535,0.4854187091807063,0.7401570507034358,1.328498534955312,-0.30367719010744687,-0.09136156923324823,180,1.4909610070102632,5.963844028041053,50,50,0,1.0,7464.092938954939,0.0016946553330209248,10.0,0,0.0003079468360739556,0.003798452971588007,0.006707383077636825,0.019754842659131102,0.0
O2,LAMBDAMART,PARAMETER,LOW_COMPLEXITY,4,263,0.010361694168127947,0.012009721507940982,0.5,0.46775755659905216,-0.06254358081679623,0.32124157140765375,0.4745160103391044,0.7223019349146529,1.2743272312166072,-0.32629303969295353,-0.09349658707162378,180,1.4909110710012263,5.963644284004905,50,50,0,1.0,7409.306986851114,0.0017094578686482757,10.0,0,0.00023425032688991206,0.002980372694965569,0.0035103690912846367,0.008174075032501766,0.0
O2,LAMBDAMART,PARAMETER,HIGH_COMPLEXITY,4,263,-0.06547979207970735,-0.07948525439037994,0.5,0.44718399670863135,-0.07799624475593822,0.4251298026173837,0.4510056048276978,0.6839792119238459,1.2515677492667407,-0.2964183693116389,-0.09110381334345174,180,1.4412441006334797,5.764976402533919,49,49,0,1.0,7284.805953334182,0.001993203603289652,10.0,0,0.00023157331565385622,0.003813304983764809,0.0067738825787163025,0.019754842659131102,0.0
O3,LGBM_REGRESSION,BASE,BASE,4,299,-0.03819882346556569,-0.050031454980430934,0.25,0.5404275367788995,-0.005316293783909453,0.029688949329467355,0.17505487670600872,0.2533760995327554,0.9534887730035005,-0.17472831309868808,-0.06457204097457891,180,1.2923804969494816,5.169521987797927,46,46,0,1.0,5891.605032183926,0.0028535414184434563,10.0,0,0.000190149785783757,0.0009869181432195133,0.0029293220901545052,0.00965425418124123,0.0
O3,LGBM_REGRESSION,ABLATION,WITHOUT_mom_12_1,4,299,0.006044614403555075,-0.02180755219374802,0.5,0.5920918120107654,0.0432044911495293,0.03019931276748166,0.12152356894897953,0.17417212692972783,0.7604031683576764,-0.17476886735857522,-0.04576140430098552,180,1.2448078624515329,4.979231449806131,45,45,0,1.0,5622.454508315172,0.003115151496115067,10.0,0,0.00021638678031208475,0.0009068305001295292,0.0036134643502023027,0.00965425418124123,0.0
O3,LGBM_REGRESSION,ABLATION,WITHOUT_mom_63,4,299,0.016712351208860658,0.016426365044576834,0.5,0.5473092876062832,0.03802567455356756,0.02429307049175046,0.2528000486011335,0.37099056547895515,1.2406973421122445,-0.11074206556985344,-0.06703715521802922,180,1.4005019211837209,5.602007684734883,48,48,0,1.0,6295.08584127125,0.0020805024285883034,10.0,0,0.0004524184902428616,0.003354754221384206,0.007195620877162275,0.016659049938852817,0.0
O3,LGBM_REGRESSION,ABLATION,WITHOUT_vol_63,4,299,-0.013132312164739025,-0.016991706853879192,0.5,0.5483490136771111,-0.015072313561866876,0.030499222279568503,0.14450263632052973,0.20799049297504202,0.7778150187723999,-0.20481601002211103,-0.0684181770116099,180,1.391864525287587,5.567458101150348,48,48,0,1.0,5744.322455848244,0.002148801213352523,10.0,0,0.0002349264226839221,0.0010253300984191473,0.0018441159595239637,0.0028008988473531738,0.0
