date,equity_before_terminal_liquidation,equity,positions,terminal_liquidation_cost
2023-01-09,7.748427597706088,7.748427597706088,66,
2023-01-10,7.460683069554211,7.460683069554211,66,
2023-01-11,7.013755836961892,7.013755836961892,66,
2023-01-12,7.3082910942743435,7.3082910942743435,66,
2023-01-13,7.332269202949246,7.332269202949246,66,
2023-01-16,7.63970182236917,7.63970182236917,66,
2023-01-17,7.811658974902389,7.811658974902389,66,
2023-01-18,7.927286559613301,7.927286559613301,66,
2023-01-19,7.953512826699639,7.953512826699639,66,
2023-01-20,8.062580358027667,8.062580358027667,66,
2023-01-23,7.96129351299498,7.96129351299498,66,
2023-01-24,7.894968901944985,7.894968901944985,66,
2023-01-25,7.775671965715688,7.775671965715688,66,
2023-01-26,7.718996456346037,7.718996456346037,66,
2023-01-27,7.572298874740441,7.572298874740441,66,
2023-01-30,7.453048429099609,7.453048429099609,66,
2023-01-31,7.307250085888413,7.307250085888413,66,
2023-02-01,6.852556785671929,6.852556785671929,66,
2023-02-02,6.810975193309654,6.810975193309654,66,
2023-02-03,7.161434429488015,7.161434429488015,66,
2023-02-06,7.103195415627522,7.103195415627522,66,
2023-02-07,6.5125427015332065,6.5125427015332065,66,
2023-02-08,6.05588248812084,6.05588248812084,66,
2023-02-15,7.131023971918977,7.131023971918977,66,
2023-02-16,7.1080192864500455,7.1080192864500455,66,
2023-02-17,7.123130772869661,7.123130772869661,66,
2023-02-20,7.354336121774641,7.354336121774641,66,
2023-02-21,7.472294182852681,7.472294182852681,66,
2023-02-22,7.375317911941518,7.375317911941518,66,
2023-02-23,7.423656306977103,7.423656306977103,66,
2023-02-24,7.416468274665877,7.416468274665877,66,
2023-02-27,7.577042743726437,7.577042743726437,66,
2023-02-28,7.63753867736247,7.63753867736247,66,
2023-03-01,7.755562426609751,7.755562426609751,66,
2023-03-02,7.72652786750734,7.72652786750734,66,
2023-03-03,7.654933314419021,7.654933314419021,66,
2023-03-06,7.918853009844113,7.918853009844113,66,
2023-03-07,7.943080546943494,7.943080546943494,66,
2023-03-08,8.02494955856768,8.02494955856768,66,
2023-03-09,8.083404930522594,8.083404930522594,66,
2023-03-10,8.068241163980453,8.068241163980453,66,
2023-03-13,7.984297136871548,7.984297136871548,66,
2023-03-14,7.830453389653113,7.830453389653113,66,
2023-03-15,7.678282933228735,7.678282933228735,66,
2023-03-16,7.8204211328445465,7.8204211328445465,66,
2023-03-17,7.744498452655587,7.744498452655587,66,
2023-03-20,7.512382381491132,7.512382381491132,66,
2023-03-21,7.408791336614284,7.408791336614284,66,
2023-03-22,7.548899875865855,7.548899875865855,66,
2023-03-23,7.638283028196184,7.638283028196184,66,
2023-03-24,7.579933168726231,7.579933168726231,66,
2023-03-27,7.543151170986219,7.543151170986219,66,
2023-03-28,7.263891787445749,7.263891787445749,66,
2023-03-29,7.3796072810877265,7.3796072810877265,66,
2023-03-30,7.382343764190255,7.382343764190255,66,
2023-03-31,7.272680567971119,7.272680567971119,66,
2023-04-03,7.287624770083595,7.287624770083595,66,
2023-04-04,7.458287130107147,7.458287130107147,66,
2023-04-05,7.405879083372138,7.405879083372138,66,
2023-04-06,7.402688332597313,7.402688332597313,66,
2023-04-07,7.450755566476162,7.450755566476162,66,
2023-04-10,7.675377307169719,7.675377307169719,66,
2023-04-11,7.754261171263115,7.754261171263115,66,
2023-04-12,7.800275536585836,7.800275536585836,66,
2023-04-13,7.795001219874098,7.795001219874098,66,
2023-04-14,7.763115776632179,7.763115776632179,66,
2023-04-17,7.6842832304891795,7.6842832304891795,66,
2023-04-18,7.6607879672074075,7.6607879672074075,66,
2023-04-19,7.766887401410021,7.766887401410021,66,
2023-04-20,7.720492235323755,7.720492235323755,66,
2023-04-24,7.750023837894122,7.750023837894122,66,
2023-04-25,7.515408711104287,7.515408711104287,66,
2023-04-26,7.362063072695624,7.362063072695624,66,
2023-04-27,7.342070891111876,7.342070891111876,66,
2023-04-28,7.091798426704317,7.091798426704317,66,
2023-05-02,6.853446481831415,6.853446481831415,66,
2023-05-03,6.745813714631974,6.745813714631974,66,
2023-05-04,6.798707820845029,6.798707820845029,66,
2023-05-05,6.716610284150333,6.716610284150333,66,
2023-05-08,6.925301082684512,6.925301082684512,66,
2023-05-09,6.924668323647608,6.924668323647608,66,
2023-05-10,6.881578725962504,6.881578725962504,66,
2023-05-11,7.366417480933845,7.366417480933845,66,
2023-05-12,7.260064005859687,7.260064005859687,66,
2023-05-15,6.879245310985809,6.879245310985809,66,
2023-05-16,6.994147645130617,6.994147645130617,66,
2023-05-17,7.134133214696905,7.134133214696905,66,
2023-05-18,6.941826169445322,6.941826169445322,66,
2023-05-22,6.893427112634809,6.893427112634809,66,
2023-05-23,6.8899291123643245,6.8899291123643245,66,
2023-05-24,6.834646720135044,6.834646720135044,66,
2023-05-25,6.889994358953221,6.889994358953221,66,
2023-05-26,7.0870416037573785,7.0870416037573785,66,
2023-05-29,7.36535893489599,7.36535893489599,66,
2023-05-30,7.672093509101513,7.672093509101513,66,
2023-05-31,7.6060177627912156,7.6060177627912156,66,
2023-06-01,7.7394780611813365,7.7394780611813365,66,
2023-06-02,7.94778686902421,7.94778686902421,66,
2023-06-05,8.277543684185117,8.277543684185117,66,
