date,nav,outer_fold,architecture,cost_bps
2023-03-13,1.129059496173555,O2,LGBM_REGRESSION,30
2023-03-14,1.100154265267412,O2,LGBM_REGRESSION,30
2023-03-15,1.0675363488370595,O2,LGBM_REGRESSION,30
2023-03-16,1.0825592855657,O2,LGBM_REGRESSION,30
2023-03-17,1.069319540679345,O2,LGBM_REGRESSION,30
2023-03-20,1.0350000479868868,O2,LGBM_REGRESSION,30
2023-03-21,1.0232562164841985,O2,LGBM_REGRESSION,30
2023-03-22,1.0476390484510294,O2,LGBM_REGRESSION,30
2023-03-23,1.0563028656393256,O2,LGBM_REGRESSION,30
2023-03-24,1.0374358214199186,O2,LGBM_REGRESSION,30
2023-03-27,1.0290162827698968,O2,LGBM_REGRESSION,30
2023-03-28,0.9864127914376554,O2,LGBM_REGRESSION,30
2023-03-29,0.9911841315873386,O2,LGBM_REGRESSION,30
2023-03-30,0.9888408895405638,O2,LGBM_REGRESSION,30
2023-03-31,0.9769316989516512,O2,LGBM_REGRESSION,30
2023-04-03,0.9772705998293683,O2,LGBM_REGRESSION,30
2023-04-04,1.0017721089393241,O2,LGBM_REGRESSION,30
2023-04-05,0.9932826816691379,O2,LGBM_REGRESSION,30
2023-04-06,0.9813689792025109,O2,LGBM_REGRESSION,30
2023-04-07,0.9933999328159564,O2,LGBM_REGRESSION,30
2023-04-10,1.0204823185239942,O2,LGBM_REGRESSION,30
2023-04-11,1.029904072798822,O2,LGBM_REGRESSION,30
2023-04-12,1.0328418932510048,O2,LGBM_REGRESSION,30
2023-04-13,1.0292504929690813,O2,LGBM_REGRESSION,30
2023-04-14,1.0248279459487812,O2,LGBM_REGRESSION,30
2023-04-17,1.0172774421662047,O2,LGBM_REGRESSION,30
2023-04-18,1.0012237599342535,O2,LGBM_REGRESSION,30
2023-04-19,1.0017649952494814,O2,LGBM_REGRESSION,30
2023-04-20,0.9942119053968691,O2,LGBM_REGRESSION,30
2023-04-24,0.9915577645092024,O2,LGBM_REGRESSION,30
2023-04-25,0.9704280362709758,O2,LGBM_REGRESSION,30
2023-04-26,0.9479195623474944,O2,LGBM_REGRESSION,30
2023-04-27,0.9412452568062057,O2,LGBM_REGRESSION,30
2023-04-28,0.9125382271313808,O2,LGBM_REGRESSION,30
2023-05-02,0.8757836376305456,O2,LGBM_REGRESSION,30
2023-05-03,0.8567526978255691,O2,LGBM_REGRESSION,30
2023-05-04,0.8607390572303888,O2,LGBM_REGRESSION,30
2023-05-05,0.848771234570179,O2,LGBM_REGRESSION,30
2023-05-08,0.8741646082581639,O2,LGBM_REGRESSION,30
2023-05-09,0.8616140704047984,O2,LGBM_REGRESSION,30
2023-05-10,0.8418535169044375,O2,LGBM_REGRESSION,30
2023-05-11,0.8949390024246515,O2,LGBM_REGRESSION,30
2023-05-12,0.878654449433193,O2,LGBM_REGRESSION,30
2023-05-15,0.8550374224785409,O2,LGBM_REGRESSION,30
2023-05-16,0.8916938372789256,O2,LGBM_REGRESSION,30
