date,nav,cash_weight,holdings,outer_fold,architecture,case,k,cost_bps,delay_sessions,capital_try,adv_limit_pct
2022-10-04,2.28456575515815,0.0018806603367823192,10,O1,LGBM_REGRESSION,K_SENSITIVITY,10,100,0,1000000,0.1
2022-10-05,2.283446019646751,0.0018815825579103235,10,O1,LGBM_REGRESSION,K_SENSITIVITY,10,100,0,1000000,0.1
2022-10-06,2.3508321975360884,0.0018276473356967976,10,O1,LGBM_REGRESSION,K_SENSITIVITY,10,100,0,1000000,0.1
2022-10-07,2.351554743830111,0.001827085766882526,10,O1,LGBM_REGRESSION,K_SENSITIVITY,10,100,0,1000000,0.1
2022-10-10,2.3462701201987115,0.0018312010051652534,10,O1,LGBM_REGRESSION,K_SENSITIVITY,10,100,0,1000000,0.1
2022-10-11,2.3379981888483354,0.0018376798677562155,10,O1,LGBM_REGRESSION,K_SENSITIVITY,10,100,0,1000000,0.1
2022-10-12,2.2914426147433544,0.0018750162778910764,10,O1,LGBM_REGRESSION,K_SENSITIVITY,10,100,0,1000000,0.1
2022-10-13,2.303754451651354,0.001864995724443337,10,O1,LGBM_REGRESSION,K_SENSITIVITY,10,100,0,1000000,0.1
2022-10-14,2.3412851555534373,0.0018350999203603918,10,O1,LGBM_REGRESSION,K_SENSITIVITY,10,100,0,1000000,0.1
2022-10-17,2.475209986127336,0.0017358091744043447,10,O1,LGBM_REGRESSION,K_SENSITIVITY,10,100,0,1000000,0.1
2022-10-18,2.4646528470366165,0.0017432443711750244,10,O1,LGBM_REGRESSION,K_SENSITIVITY,10,100,0,1000000,0.1
2022-10-19,2.5027449389511593,0.0017167119731735978,10,O1,LGBM_REGRESSION,K_SENSITIVITY,10,100,0,1000000,0.1
2022-10-20,2.529734439324335,0.0016983965335288817,10,O1,LGBM_REGRESSION,K_SENSITIVITY,10,100,0,1000000,0.1
2022-10-21,2.5492999257011695,0.0016853616003285122,10,O1,LGBM_REGRESSION,K_SENSITIVITY,10,100,0,1000000,0.1
2022-10-24,2.5753173815906587,0.0016683350305519735,10,O1,LGBM_REGRESSION,K_SENSITIVITY,10,100,0,1000000,0.1
2022-10-25,2.5522872998878205,0.0016833889361459902,10,O1,LGBM_REGRESSION,K_SENSITIVITY,10,100,0,1000000,0.1
