outer_fold,architecture,cost_bps,delay_sessions,net_return,cagr,sharpe,daily_maxdd,worst_day,daily_observations,mean_turnover_two_sided,total_turnover_two_sided,attempted_trades,filled_trades,unfilled_trades,fill_rate,terminal_liquidation_cost_try,mean_cash_weight,mean_holdings,adv_missing_checks,order_adv_median,order_adv_p90,order_adv_p95,order_adv_max,order_adv_gt_10pct
O3,LGBM_REGRESSION,100,0,0.14426359135734712,0.20763728035752038,0.8468876063678067,-0.1740110466201673,-0.06443290457616091,180,1.2846650194186837,5.138660077674735,46,46,0,1.0,11504.884588792758,0.005837560309251687,10.0,0,0.00018737629366763752,0.0009636066296281619,0.002883712659176937,0.009556736462238792,0.0
O3,LGBM_REGRESSION,50,1,0.18378359755776996,0.2664301619659275,0.9569664438460147,-0.17442806697211255,-0.06467167324002021,180,1.2923801718381835,5.169520687352734,46,46,0,1.0,5935.149720623366,0.0028631047216967046,10.0,0,0.00019365150215837465,0.0010323078630678898,0.002991501079968496,0.009575575639628202,0.0
O3,LGBM_REGRESSION,50,2,0.11979747258538365,0.171642929731449,0.6480218232201429,-0.1738727588243757,-0.06411239749286024,180,1.2923423908962324,5.1693695635849295,46,46,0,1.0,5614.154188272475,0.002874160383190634,10.0,0,0.00018716919389621977,0.0009907299467398901,0.0031034788425236656,0.00965425418124123,0.0
O3,LAMBDAMART,0,0,0.3702689340903653,0.5542759838517861,1.8745287614128567,-0.1500337707926922,-0.0727514328003861,180,1.2136286244266705,4.854514497706682,44,43,1,0.9772727272727273,0.0,0.030304449358577137,9.668508287292818,0,0.0001644085252786017,0.001978542067157399,0.0033902153435636426,0.009751771900243665,0.0
O3,LAMBDAMART,30,0,0.34730841604332463,0.5179372956446799,1.7579910102298588,-0.14985306855924807,-0.07266117590635979,180,1.2544378780118146,5.0177515120472584,45,45,0,1.0,4048.605609916027,0.001864258740119717,10.0,0,0.00014814925542281333,0.0018452507683206403,0.003349881440675521,0.009693261268842204,0.0
O3,LAMBDAMART,50,0,0.33318008924701137,0.4956994932737917,1.7085495552840848,-0.1497291314952207,-0.07259927578162217,180,1.2514196910437203,5.005678764174881,45,45,0,1.0,6684.096348874743,0.0031332457106830283,10.0,0,0.00014755308135672553,0.0018278639776245522,0.0033285418236594804,0.00965425418124123,0.0
O3,LAMBDAMART,100,0,0.29859616060779937,0.44166302591459017,1.583099099570698,-0.15062833264369346,-0.07243833560887802,180,1.2438118103342917,4.975247241337167,45,45,0,1.0,13055.188605965355,0.00639862766078702,10.0,0,0.0001460626461915061,0.0017850662025507668,0.003275659341863919,0.009556736462238792,0.0
O3,LAMBDAMART,50,1,0.3657061209807928,0.5470350676223017,1.8656549020334043,-0.14944523911035512,-0.07251611235318767,180,1.250555278495855,5.00222111398342,45,45,0,1.0,6847.666986188058,0.0031286058431721745,10.0,0,0.00014512906677537448,0.0018497140910619697,0.003477252554380704,0.009575575639628202,0.0
O3,LAMBDAMART,50,2,0.3013590142363318,0.4459589860168556,1.55553655658316,-0.15166810435615807,-0.07229269944180161,180,1.250304603047893,5.001218412191572,45,45,0,1.0,6524.891662215688,0.003139865828229662,10.0,0,0.00014512906677537448,0.0017791251607656455,0.0034080945068785196,0.00965425418124123,0.0
O3,ENSEMBLE_50_50,0,0,0.10277328068302416,0.14678163384123066,0.6083251935833255,-0.172126718721888,-0.06958247412575991,180,1.3062557518832454,5.2250230075329815,46,46,0,1.0,0.0,6.61460116844289e-17,10.0,0,0.00018733786235049997,0.002256012155362963,0.0031670237261291396,0.009751771900243665,0.0
O3,ENSEMBLE_50_50,30,0,0.08528824059747553,0.12140667351588141,0.53720446911755,-0.17425951435884834,-0.06949843731127259,180,1.3015037686188167,5.206015074475267,46,46,0,1.0,3261.1707141909887,0.0017092567490470413,10.0,0,0.00018588595560118824,0.002242476082430785,0.0031373659580920974,0.009693261268842204,0.0
O3,ENSEMBLE_50_50,50,0,0.07381241700608343,0.10484102028244457,0.4897074368559082,-0.17675844447510702,-0.06944087222774797,180,1.2983169893108613,5.193267957243445,46,46,0,1.0,5383.514745860663,0.002875570017675035,10.0,0,0.00018492188879048685,0.0022334520338093333,0.0031177199155177585,0.00965425418124123,0.0
O3,ENSEMBLE_50_50,100,0,0.04574636472614513,0.06462560966640507,0.3712127683058588,-0.18294953408770853,-0.06929142729306137,180,1.2902830997355301,5.1611323989421205,46,46,0,1.0,10512.45133858903,0.00588676153797256,10.0,0,0.00018252515212166312,0.0022108919122557037,0.0030690412768513997,0.009556736462238792,0.0
O3,ENSEMBLE_50_50,50,1,0.10128565909501774,0.14461643501386923,0.6534049276507348,-0.18185055552967144,-0.06947785658619188,180,1.2974836388637914,5.1899345554551655,46,46,0,1.0,5521.485064761281,0.002891430887433531,10.0,0,0.00017570905698713213,0.00222982500758871,0.003259668666679207,0.009575575639628202,0.0
O3,ENSEMBLE_50_50,50,2,0.04588763622335246,0.0648269657995475,0.35264939386517324,-0.19914075966559108,-0.06918916373013528,180,1.297272258018276,5.189089032073104,46,46,0,1.0,5243.6587104165965,0.002902784131230989,10.0,0,0.000174478346651412,0.0020979760452982154,0.003198081855881801,0.00965425418124123,0.0
O4,LGBM_REGRESSION,0,0,0.028508876724088195,0.12531416612637458,0.65014307294201,-0.10889550793879599,-0.074303513683465,60,0.9999999999999999,1.9999999999999998,10,10,0,1.0,0.0,0.0,10.0,0,0.0002045149701152081,0.0006781088086549571,0.0009053365110296254,0.0011325642134042946,0.0
