outer_fold,architecture,inner_validation_year,target_family,horizon_sessions,train_observations,train_last_label_end,signal_dates,observations,rank_ic_mean,rank_ic_median,positive_ic_ratio,ndcg_at_10_mean,top_k_spread_raw_mean,prediction_dispersion_mean
O1,RIDGE,2021,BETA_RESIDUAL,20,476,2020-10-13,4,241,0.09097621203022349,0.15238865634719326,0.75,0.5062481425850311,0.018954533144995234,0.030976031596628536
O1,RIDGE,2021,BETA_RESIDUAL,40,475,2020-11-11,3,180,0.12144114105770125,0.1780494581828286,0.6666666666666666,0.47343826207165063,0.03475144955451175,0.032177935546960794
O1,RIDGE,2021,BETA_RESIDUAL,60,419,2020-12-09,3,180,-0.06637028804297491,-0.22239510975270915,0.3333333333333333,0.44374476149055136,0.04367699326697378,0.038756117719000144
O1,RIDGE,2021,VOL_SCALED,20,476,2020-10-13,4,241,-0.09644143982647513,-0.08463462072798002,0.0,0.47582137102784156,-0.05230575092679274,0.02248183065997514
O1,RIDGE,2021,VOL_SCALED,40,475,2020-11-11,3,180,0.22074650365842366,0.29352597943873304,0.6666666666666666,0.5783137776780648,0.045476439481984654,0.019368572381298608
O1,RIDGE,2021,VOL_SCALED,60,419,2020-12-09,3,180,-0.03252755395017135,-0.12258960822450683,0.3333333333333333,0.4333611844763278,0.01644997282639289,0.025754899448896643
O1,LGBM_REGRESSION,2020,RAW,20,236,2019-10-28,3,180,-0.13974930938923164,-0.17634461303225213,0.3333333333333333,0.38739857832714913,-0.02566554745763688,0.025151972927774578
O1,LGBM_REGRESSION,2020,RAW,40,236,2019-11-26,3,179,0.17572235717700946,0.11640720666473425,1.0,0.46617640745989797,0.08614864840501867,0.0355032617808723
O1,LGBM_REGRESSION,2020,RAW,60,236,2019-12-24,3,177,0.127891793681317,0.1187138622397535,1.0,0.5628749001337302,0.09964038274103372,0.037810637121313974
O1,LGBM_REGRESSION,2020,SECTOR_RELATIVE,20,236,2019-10-28,3,180,-0.16069700417505928,-0.17753845996489118,0.0,0.46937530729510474,-0.007080810469828312,0.012122244297572742
O1,LGBM_REGRESSION,2020,SECTOR_RELATIVE,40,236,2019-11-26,3,179,0.0847956785772952,0.06384206319920392,1.0,0.5343234263654737,0.09222818039372603,0.028628003017995823
O1,LGBM_REGRESSION,2020,SECTOR_RELATIVE,60,236,2019-12-24,3,177,0.06856408514819677,0.00017576805032470466,0.6666666666666666,0.5211506565492141,0.05876081368214144,0.03619292309760086
O1,LGBM_REGRESSION,2020,BETA_RESIDUAL,20,236,2019-10-28,3,180,-0.1067683080797621,-0.049400033392112984,0.3333333333333333,0.5334554819546993,-0.03486960351966447,0.012904143610410534
O1,LGBM_REGRESSION,2020,BETA_RESIDUAL,40,236,2019-11-26,3,179,0.17226213818735325,0.1744041881878053,1.0,0.550065693737387,0.1310665148127717,0.026302222594875597
O1,LGBM_REGRESSION,2020,BETA_RESIDUAL,60,236,2019-12-24,3,177,0.14557181766618668,0.1532600037409985,1.0,0.5671931851228731,0.0934228183505826,0.03596519854508077
O1,LGBM_REGRESSION,2020,VOL_SCALED,20,236,2019-10-28,3,180,-0.10476174602651378,-0.18783192832639545,0.3333333333333333,0.4494035367582397,-0.030130638836097522,1.0819971810896885
O1,LGBM_REGRESSION,2020,VOL_SCALED,40,236,2019-11-26,3,179,0.16456933435704246,0.16213693905627902,1.0,0.5743254573397606,0.052536075614076944,1.3903149860659954
O1,LGBM_REGRESSION,2020,VOL_SCALED,60,236,2019-12-24,3,177,0.11854934596937756,0.13335327706962494,1.0,0.6112974357763682,0.05084166751698499,1.6754156524978914
O1,LGBM_REGRESSION,2021,RAW,20,476,2020-10-13,4,241,-0.02429339234284304,0.06479472195315475,0.5,0.4195346724041522,-0.009022162846062748,0.04687671052623647
O1,LGBM_REGRESSION,2021,RAW,40,475,2020-11-11,3,180,0.04113803553961738,0.05911797576356646,0.6666666666666666,0.44415057019601134,0.0014778301678572137,0.08952832206817674
O1,LGBM_REGRESSION,2021,RAW,60,419,2020-12-09,3,180,-0.1560462094611014,-0.21464593841941443,0.3333333333333333,0.428941667821318,-0.04300774830058653,0.11714736942942139
O1,LGBM_REGRESSION,2021,SECTOR_RELATIVE,20,476,2020-10-13,4,241,-0.07950130257458593,-0.0301831206973288,0.5,0.4338527372437673,-0.003413898010240994,0.025871493068205725
O1,LGBM_REGRESSION,2021,SECTOR_RELATIVE,40,475,2020-11-11,3,180,-0.07799014763485505,-0.023942278596452413,0.0,0.4759641948806805,-0.0179465430381875,0.05080417855551428
O1,LGBM_REGRESSION,2021,SECTOR_RELATIVE,60,419,2020-12-09,3,180,-0.15187583098913401,-0.16067187657410226,0.0,0.45512821432204986,0.024134389809338897,0.06196669566654701
O1,LGBM_REGRESSION,2021,BETA_RESIDUAL,20,476,2020-10-13,4,241,0.0012205371596592453,0.05357214912705509,0.5,0.46582955837305395,0.0007059464352035779,0.03268979679880857
O1,LGBM_REGRESSION,2021,BETA_RESIDUAL,40,475,2020-11-11,3,180,0.0460258708188763,0.13574157726397268,0.6666666666666666,0.5234853077644076,0.047403080043098816,0.057321420490006804
O1,LGBM_REGRESSION,2021,BETA_RESIDUAL,60,419,2020-12-09,3,180,-0.13483262915774216,-0.13847789578327793,0.3333333333333333,0.45821645177771425,0.018146583375397554,0.07801919587165862
O1,LGBM_REGRESSION,2021,VOL_SCALED,20,476,2020-10-13,4,241,-0.010063049167729182,0.07030581833464554,0.5,0.49782239019976704,-0.02716255824242154,1.3231007952896057
O1,LGBM_REGRESSION,2021,VOL_SCALED,40,475,2020-11-11,3,180,0.08264142117595633,0.08967926846148007,0.6666666666666666,0.46938122599386856,0.011600951485978443,2.6610417065086516
O1,LGBM_REGRESSION,2021,VOL_SCALED,60,419,2020-12-09,3,180,-0.20674213569851116,-0.1716151445613706,0.0,0.38315828799860085,-0.0802522664593638,3.885549785991929
O1,LAMBDAMART,2020,RAW,20,236,2019-10-28,3,180,0.23041500157822437,0.12994581729911767,1.0,0.5763379305269772,0.1173980124796739,0.4119190451618337
O1,LAMBDAMART,2020,RAW,40,236,2019-11-26,3,179,0.06615548182654866,0.08963511802917692,1.0,0.4694712622460506,0.01865440693929386,0.34698182261351546
O1,LAMBDAMART,2020,RAW,60,236,2019-12-24,3,177,0.04045264742320064,0.0629867336940195,0.6666666666666666,0.5440831499692609,0.06935464263540699,0.3485921549654544
O1,LAMBDAMART,2020,SECTOR_RELATIVE,20,236,2019-10-28,3,180,0.08012356980910894,0.005803865509308036,0.6666666666666666,0.49274337845662136,0.02373342146353084,0.327523771407746
O1,LAMBDAMART,2020,SECTOR_RELATIVE,40,236,2019-11-26,3,179,-0.03544475901645253,0.03382626138500978,0.6666666666666666,0.5063607630404928,0.022354209174646176,0.36997632342768494
O1,LAMBDAMART,2020,SECTOR_RELATIVE,60,236,2019-12-24,3,177,-0.01402557825452973,0.01061615525968195,0.6666666666666666,0.5173665260538995,0.09783571503783872,0.35865855533949603
