observation_id,ticker,financial_period,field,xbrl_code,first_published_value_try,latest_recovered_value_try,published_comparative_value_try,local_stored_value_try,missing_official,missing_local,local_basis_classification
BIMAS.IS:2022Q1,BIMAS.IS,2022Q1,ebitda,,,,,2304668000.0,True,False,UNKNOWN
BIMAS.IS:2022Q1,BIMAS.IS,2022Q1,net_income,ifrs-full_ProfitLoss,1344211000.0,1344211000.0,684567000.0,1344211000.0,False,False,MATCHES_FIRST_AND_LATEST
BIMAS.IS:2022Q1,BIMAS.IS,2022Q1,equity,ifrs-full_Equity,9097227000.0,9097227000.0,7809072000.0,9097227000.0,False,False,MATCHES_FIRST_AND_LATEST
BIMAS.IS:2022Q1,BIMAS.IS,2022Q1,cfo,ifrs-full_CashFlowsFromUsedInOperatingActivities,713947000.0,713947000.0,916264000.0,713947000.0,False,False,MATCHES_FIRST_AND_LATEST
BIMAS.IS:2022Q1,BIMAS.IS,2022Q1,investing_cash_flow,ifrs-full_CashFlowsFromUsedInInvestingActivities,335560000.0,335560000.0,460644000.0,,False,True,UNKNOWN
BIMAS.IS:2022Q1,BIMAS.IS,2022Q1,fcf,DERIVED_CFO_PLUS_INVESTING_CF,1049507000.0,1049507000.0,,1049507000.0,False,False,MATCHES_FIRST_AND_LATEST
BIMAS.IS:2023Q4,BIMAS.IS,2023Q4,revenue,ifrs-full_Revenue,328441924000.0,328441924000.0,279252910000.0,474200415000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
BIMAS.IS:2023Q4,BIMAS.IS,2023Q4,operating_profit,ifrs-full_ProfitLossFromOperatingActivities,3960079000.0,3960079000.0,5801538000.0,4849389000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
BIMAS.IS:2023Q4,BIMAS.IS,2023Q4,ebitda,,,,,19853721000.0,True,False,UNKNOWN
BIMAS.IS:2023Q4,BIMAS.IS,2023Q4,net_income,ifrs-full_ProfitLoss,15445289000.0,15445289000.0,16599432000.0,22299719000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
BIMAS.IS:2023Q4,BIMAS.IS,2023Q4,equity,ifrs-full_Equity,69741735000.0,69741735000.0,58307349000.0,100692259000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
BIMAS.IS:2023Q4,BIMAS.IS,2023Q4,cfo,ifrs-full_CashFlowsFromUsedInOperatingActivities,20030459000.0,20030459000.0,16722063000.0,30234533000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
BIMAS.IS:2023Q4,BIMAS.IS,2023Q4,investing_cash_flow,ifrs-full_CashFlowsFromUsedInInvestingActivities,-11640803000.0,-11640803000.0,-9559311000.0,,False,True,UNKNOWN
BIMAS.IS:2023Q4,BIMAS.IS,2023Q4,fcf,DERIVED_CFO_PLUS_INVESTING_CF,8389656000.0,8389656000.0,,12713589000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
BIMAS.IS:2024Q3,BIMAS.IS,2024Q3,revenue,ifrs-full_Revenue,367459491000.0,367459491000.0,330890598000.0,489801496000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
BIMAS.IS:2024Q3,BIMAS.IS,2024Q3,operating_profit,ifrs-full_ProfitLossFromOperatingActivities,2469984000.0,2469984000.0,6125663000.0,3632529000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
BIMAS.IS:2024Q3,BIMAS.IS,2024Q3,ebitda,,,,,19555437000.0,True,False,UNKNOWN
BIMAS.IS:2024Q3,BIMAS.IS,2024Q3,net_income,ifrs-full_ProfitLoss,13880687000.0,13880687000.0,13291367000.0,18502124000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
BIMAS.IS:2024Q3,BIMAS.IS,2024Q3,equity,ifrs-full_Equity,101680706000.0,101680706000.0,94751360000.0,101680706000.0,False,False,MATCHES_FIRST_AND_LATEST
BIMAS.IS:2024Q3,BIMAS.IS,2024Q3,cfo,ifrs-full_CashFlowsFromUsedInOperatingActivities,30122872000.0,30122872000.0,27013495000.0,40151985000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
BIMAS.IS:2024Q3,BIMAS.IS,2024Q3,investing_cash_flow,ifrs-full_CashFlowsFromUsedInInvestingActivities,-25107504000.0,-25107504000.0,-15622446000.0,,False,True,UNKNOWN
BIMAS.IS:2024Q3,BIMAS.IS,2024Q3,fcf,DERIVED_CFO_PLUS_INVESTING_CF,5015368000.0,5015368000.0,,6685186000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
AEFES.IS:2022Q3,AEFES.IS,2022Q3,revenue,ifrs-full_Revenue,68071927000.0,68071927000.0,28333587000.0,68053082000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
AEFES.IS:2022Q3,AEFES.IS,2022Q3,operating_profit,ifrs-full_ProfitLossFromOperatingActivities,10778914000.0,10778914000.0,3373888000.0,10516317000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
AEFES.IS:2022Q3,AEFES.IS,2022Q3,ebitda,,,,,13459709000.0,True,False,UNKNOWN
AEFES.IS:2022Q3,AEFES.IS,2022Q3,net_income,ifrs-full_ProfitLoss,5427065000.0,5427065000.0,2425557000.0,5427065000.0,False,False,MATCHES_FIRST_AND_LATEST
AEFES.IS:2022Q3,AEFES.IS,2022Q3,equity,ifrs-full_Equity,61376976000.0,61376976000.0,39332493000.0,61376976000.0,False,False,MATCHES_FIRST_AND_LATEST
AEFES.IS:2022Q3,AEFES.IS,2022Q3,cfo,ifrs-full_CashFlowsFromUsedInOperatingActivities,11451803000.0,11451803000.0,6448420000.0,11451803000.0,False,False,MATCHES_FIRST_AND_LATEST
AEFES.IS:2022Q3,AEFES.IS,2022Q3,investing_cash_flow,ifrs-full_CashFlowsFromUsedInInvestingActivities,-3863290000.0,-3863290000.0,-3647949000.0,,False,True,UNKNOWN
AEFES.IS:2022Q3,AEFES.IS,2022Q3,fcf,DERIVED_CFO_PLUS_INVESTING_CF,7588513000.0,7588513000.0,,7588513000.0,False,False,MATCHES_FIRST_AND_LATEST
AEFES.IS:2023Q4,AEFES.IS,2023Q4,revenue,ifrs-full_Revenue,159877208000.0,159877208000.0,155060052000.0,230829114000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
AEFES.IS:2023Q4,AEFES.IS,2023Q4,operating_profit,ifrs-full_ProfitLossFromOperatingActivities,19564617000.0,19564617000.0,17179576000.0,28116504000.0,False,False,DIFFERS_FROM_FIRST_AND_LATEST_EQUAL
AEFES.IS:2023Q4,AEFES.IS,2023Q4,ebitda,,,,,39048001000.0,True,False,UNKNOWN
