ticker,financial_period,availability_proxy_date,historical_capital_available,fallback_capital_source_date,fallback_capital,market_cap_source,future_last_capital_fallback,affected_fields
GESAN.IS,2020Q1,2020-05-15,False,2026-09-07,460000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
GESAN.IS,2020Q2,2020-08-15,False,2026-09-07,460000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
GESAN.IS,2020Q3,2020-11-15,False,2026-09-07,460000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
GESAN.IS,2020Q4,2021-03-15,False,2026-09-07,460000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
GESAN.IS,2021Q1,2021-05-15,False,2026-09-07,460000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
GESAN.IS,2021Q2,2021-08-15,False,2026-09-07,460000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
GOKNR.IS,2019Q4,2020-03-15,False,2026-09-07,350000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
GOKNR.IS,2020Q4,2021-03-15,False,2026-09-07,350000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
GOKNR.IS,2021Q3,2021-11-15,False,2026-09-07,350000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
GOKNR.IS,2021Q4,2022-03-15,False,2026-09-07,350000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
GOKNR.IS,2022Q1,2022-05-15,False,2026-09-07,350000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
GOKNR.IS,2022Q2,2022-08-15,False,2026-09-07,350000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
GOKNR.IS,2022Q3,2022-11-15,False,2026-09-07,350000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
INVES.IS,2019Q4,2020-03-15,False,2026-09-07,187500000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
INVES.IS,2020Q4,2021-03-15,False,2026-09-07,187500000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
INVES.IS,2021Q1,2021-05-15,False,2026-09-07,187500000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
INVES.IS,2021Q2,2021-08-15,False,2026-09-07,187500000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
INVES.IS,2021Q3,2021-11-15,False,2026-09-07,187500000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
KBORU.IS,2020Q4,2021-03-15,False,2026-09-07,600000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
KBORU.IS,2021Q4,2022-03-15,False,2026-09-07,600000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
KBORU.IS,2022Q2,2022-08-15,False,2026-09-07,600000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
KBORU.IS,2022Q3,2022-11-15,False,2026-09-07,600000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
KBORU.IS,2022Q4,2023-03-15,False,2026-09-07,600000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
KBORU.IS,2023Q1,2023-05-15,False,2026-09-07,600000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
KBORU.IS,2023Q2,2023-08-15,False,2026-09-07,600000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
KBORU.IS,2023Q3,2023-11-15,False,2026-09-07,600000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
KCAER.IS,2019Q4,2020-03-15,False,2026-09-07,1915000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
KCAER.IS,2020Q4,2021-03-15,False,2026-09-07,1915000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
KCAER.IS,2021Q1,2021-05-15,False,2026-09-07,1915000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
KCAER.IS,2021Q2,2021-08-15,False,2026-09-07,1915000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
KCAER.IS,2021Q3,2021-11-15,False,2026-09-07,1915000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
KCAER.IS,2021Q4,2022-03-15,False,2026-09-07,1915000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
KCAER.IS,2022Q1,2022-05-15,False,2026-09-07,1915000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
KONTR.IS,2018Q4,2019-03-15,False,2026-09-07,1300000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
KONTR.IS,2019Q2,2019-08-15,False,2026-09-07,1300000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
KONTR.IS,2019Q3,2019-11-15,False,2026-09-07,1300000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
KONTR.IS,2019Q4,2020-03-15,False,2026-09-07,1300000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
KONTR.IS,2020Q1,2020-05-15,False,2026-09-07,1300000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
KONTR.IS,2020Q2,2020-08-15,False,2026-09-07,1300000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
MIATK.IS,2018Q4,2019-03-15,False,2026-09-07,494000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
MIATK.IS,2019Q4,2020-03-15,False,2026-09-07,494000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
MIATK.IS,2020Q2,2020-08-15,False,2026-09-07,494000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
MIATK.IS,2020Q3,2020-11-15,False,2026-09-07,494000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
MIATK.IS,2020Q4,2021-03-15,False,2026-09-07,494000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
MIATK.IS,2021Q1,2021-05-15,False,2026-09-07,494000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
MIATK.IS,2021Q2,2021-08-15,False,2026-09-07,494000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
MIATK.IS,2021Q3,2021-11-15,False,2026-09-07,494000000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
MOGAN.IS,2020Q4,2021-03-15,False,2026-09-07,2440108000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
MOGAN.IS,2021Q4,2022-03-15,False,2026-09-07,2440108000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
MOGAN.IS,2022Q3,2022-11-15,False,2026-09-07,2440108000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
MOGAN.IS,2022Q4,2023-03-15,False,2026-09-07,2440108000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
MOGAN.IS,2023Q1,2023-05-15,False,2026-09-07,2440108000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
MOGAN.IS,2023Q2,2023-08-15,False,2026-09-07,2440108000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
MOGAN.IS,2023Q3,2023-11-15,False,2026-09-07,2440108000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
MTRKS.IS,2018Q4,2019-03-15,False,2026-09-07,100500000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
MTRKS.IS,2019Q4,2020-03-15,False,2026-09-07,100500000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
MTRKS.IS,2020Q1,2020-05-15,False,2026-09-07,100500000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
MTRKS.IS,2020Q2,2020-08-15,False,2026-09-07,100500000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
MTRKS.IS,2020Q3,2020-11-15,False,2026-09-07,100500000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
MTRKS.IS,2020Q4,2021-03-15,False,2026-09-07,100500000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
ONCSM.IS,2019Q4,2020-03-15,False,2026-09-07,23850000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
ONCSM.IS,2020Q4,2021-03-15,False,2026-09-07,23850000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
ONCSM.IS,2021Q3,2021-11-15,False,2026-09-07,23850000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
ONCSM.IS,2021Q4,2022-03-15,False,2026-09-07,23850000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
ONCSM.IS,2022Q1,2022-05-15,False,2026-09-07,23850000.0,MISSING,False,piyasa_degeri;pb;ev;ev_ebitda;fcf_verim
