observation_id,ticker,financial_period,company_type,tfrs29_status,official_page_mentions_tfrs29,local_tfrs29_flag,published_current_net_income_try,published_comparative_net_income_try,restated_comparative_net_income_try,restated_comparative_status,local_net_income_try,double_adjustment_risk
ISCTR.IS:2023Q4,ISCTR.IS,2023Q4,BANK,BANK_BDDK_NOT_APPLIED_IN_LOCAL_CONTRACT,False,False,72264798000.0,61537880000.0,,PUBLISHED_COMPARATIVE_PRESENT_RESTATEMENT_NOT_SEPARATELY_PROVEN,72264711282.0,SAFE
ISCTR.IS:2024Q3,ISCTR.IS,2024Q3,BANK,BANK_BDDK_NOT_APPLIED_IN_LOCAL_CONTRACT,False,False,34684797000.0,52045550000.0,,PUBLISHED_COMPARATIVE_PRESENT_RESTATEMENT_NOT_SEPARATELY_PROVEN,34684755378.0,SAFE
AKBNK.IS:2022Q3,AKBNK.IS,2022Q3,BANK,PRE_TFRS29,False,False,38223316000.0,7342714000.0,,PUBLISHED_COMPARATIVE_PRESENT_RESTATEMENT_NOT_SEPARATELY_PROVEN,38223316000.0,SAFE
AKBNK.IS:2023Q4,AKBNK.IS,2023Q4,BANK,BANK_BDDK_NOT_APPLIED_IN_LOCAL_CONTRACT,False,False,66478940000.0,60024084000.0,,PUBLISHED_COMPARATIVE_PRESENT_RESTATEMENT_NOT_SEPARATELY_PROVEN,66478940000.0,SAFE
AKBNK.IS:2024Q2,AKBNK.IS,2024Q2,BANK,BANK_BDDK_NOT_APPLIED_IN_LOCAL_CONTRACT,False,False,24108123000.0,31012976000.0,,PUBLISHED_COMPARATIVE_PRESENT_RESTATEMENT_NOT_SEPARATELY_PROVEN,24108123000.0,SAFE
ANSGR.IS:2022Q1,ANSGR.IS,2022Q1,INSURANCE_FINANCIAL,PRE_TFRS29,False,False,196686770.0,165636222.0,,PUBLISHED_COMPARATIVE_PRESENT_RESTATEMENT_NOT_SEPARATELY_PROVEN,196686770.0,SAFE
ANSGR.IS:2023Q4,ANSGR.IS,2023Q4,INSURANCE_FINANCIAL,POST_TFRS29_STATUS_UNKNOWN,False,False,5909396707.0,1133201306.0,,PUBLISHED_COMPARATIVE_PRESENT_RESTATEMENT_NOT_SEPARATELY_PROVEN,5909396707.0,UNKNOWN
ANSGR.IS:2024Q3,ANSGR.IS,2024Q3,INSURANCE_FINANCIAL,POST_TFRS29_STATUS_UNKNOWN,False,False,7879164434.0,5423053452.0,,PUBLISHED_COMPARATIVE_PRESENT_RESTATEMENT_NOT_SEPARATELY_PROVEN,7879164434.0,UNKNOWN
TURSG.IS:2022Q3,TURSG.IS,2022Q3,INSURANCE_FINANCIAL,PRE_TFRS29,False,False,517588747.0,783936943.0,,PUBLISHED_COMPARATIVE_PRESENT_RESTATEMENT_NOT_SEPARATELY_PROVEN,517588747.0,SAFE
TURSG.IS:2023Q4,TURSG.IS,2023Q4,INSURANCE_FINANCIAL,POST_TFRS29_STATUS_UNKNOWN,False,False,6155335809.0,941403358.0,,PUBLISHED_COMPARATIVE_PRESENT_RESTATEMENT_NOT_SEPARATELY_PROVEN,6155335809.0,UNKNOWN
TURSG.IS:2024Q2,TURSG.IS,2024Q2,INSURANCE_FINANCIAL,POST_TFRS29_STATUS_UNKNOWN,False,False,6569089716.0,2869900152.0,,PUBLISHED_COMPARATIVE_PRESENT_RESTATEMENT_NOT_SEPARATELY_PROVEN,6569089716.0,UNKNOWN
