observation_id,candidate_rank,ticker,financial_period,notification_id,announcement_timestamp,subject,summary,statement_year,statement_period_number,rule_type,consolidated_flag,preferred_basis,basis_match,modify_status,correction_marker,attachment_count,presentation_unit_labels,presentation_unit_multiplier,presentation_unit_status,source_url,retrieval_timestamp_utc
AKBNK.IS:2022Q3,2,AKBNK.IS,2022Q3,1074407,26.10.2022 18:11:34,Finansal Rapor,,2022,3,9 Aylık,NON_CONSOLIDATED,NON_CONSOLIDATED,True,,False,1,1.000 TL,1000,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1074407,2026-09-17T17:14:17.495586+00:00
AKBNK.IS:2023Q4,1,AKBNK.IS,2023Q4,1246214,01.02.2024 18:15:52,Finansal Rapor,,2023,4,Yıllık,CONSOLIDATED,NON_CONSOLIDATED,False,,False,1,1.000 TL,1000,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1246214,2026-09-17T17:14:17.495586+00:00
AKBNK.IS:2023Q4,2,AKBNK.IS,2023Q4,1246216,01.02.2024 18:16:07,Finansal Rapor,,2023,4,Yıllık,NON_CONSOLIDATED,NON_CONSOLIDATED,True,,False,1,1.000 TL,1000,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1246216,2026-09-17T17:14:17.495586+00:00
AKBNK.IS:2024Q2,1,AKBNK.IS,2024Q2,1316531,29.07.2024 18:15:07,Finansal Rapor,,2024,2,6 Aylık,CONSOLIDATED,NON_CONSOLIDATED,False,,False,1,1.000 TL,1000,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1316531,2026-09-17T17:14:17.495586+00:00
AKBNK.IS:2024Q2,2,AKBNK.IS,2024Q2,1316532,29.07.2024 18:15:26,Finansal Rapor,,2024,2,6 Aylık,NON_CONSOLIDATED,NON_CONSOLIDATED,True,,False,1,1.000 TL,1000,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1316532,2026-09-17T17:14:17.495586+00:00
ANSGR.IS:2022Q1,1,ANSGR.IS,2022Q1,1025810,29.04.2022 18:20:12,Finansal Rapor,,2022,1,3 Aylık,NON_CONSOLIDATED,NON_CONSOLIDATED,True,,False,1,TL,1,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1025810,2026-09-17T17:14:17.495586+00:00
ANSGR.IS:2022Q1,2,ANSGR.IS,2022Q1,1025820,29.04.2022 18:21:21,Finansal Rapor,,2022,1,3 Aylık,CONSOLIDATED,NON_CONSOLIDATED,False,,False,1,TL,1,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1025820,2026-09-17T17:14:17.495586+00:00
ANSGR.IS:2023Q4,1,ANSGR.IS,2023Q4,1247820,07.02.2024 21:28:42,Finansal Rapor,,2023,4,Yıllık,NON_CONSOLIDATED,NON_CONSOLIDATED,True,,False,1,TL,1,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1247820,2026-09-17T17:14:17.495586+00:00
ANSGR.IS:2023Q4,2,ANSGR.IS,2023Q4,1247822,07.02.2024 21:29:24,Finansal Rapor,,2023,4,Yıllık,CONSOLIDATED,NON_CONSOLIDATED,False,,False,1,TL,1,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1247822,2026-09-17T17:14:17.495586+00:00
ANSGR.IS:2024Q3,1,ANSGR.IS,2024Q3,1351070,25.10.2024 19:24:41,Finansal Rapor,,2024,3,9 Aylık,NON_CONSOLIDATED,NON_CONSOLIDATED,True,,False,1,TL,1,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1351070,2026-09-17T17:14:17.495586+00:00
ANSGR.IS:2024Q3,2,ANSGR.IS,2024Q3,1351073,25.10.2024 19:25:35,Finansal Rapor,,2024,3,9 Aylık,CONSOLIDATED,NON_CONSOLIDATED,False,,False,1,TL,1,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1351073,2026-09-17T17:14:17.495586+00:00
TURSG.IS:2022Q3,1,TURSG.IS,2022Q3,1075400,31.10.2022 18:13:32,Finansal Rapor,,2022,3,9 Aylık,NON_CONSOLIDATED,NON_CONSOLIDATED,True,,False,1,TL,1,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1075400,2026-09-17T17:14:17.495586+00:00
TURSG.IS:2022Q3,2,TURSG.IS,2022Q3,1075494,31.10.2022 18:21:19,Finansal Rapor,,2022,3,9 Aylık,CONSOLIDATED,NON_CONSOLIDATED,False,,False,1,TL,1,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1075494,2026-09-17T17:14:17.495586+00:00
TURSG.IS:2023Q4,1,TURSG.IS,2023Q4,1250640,19.02.2024 21:02:14,Finansal Rapor,,2023,4,Yıllık,NON_CONSOLIDATED,NON_CONSOLIDATED,True,,False,1,TL,1,RESOLVED,https://www.kap.org.tr/tr/Bildirim/1250640,2026-09-17T17:14:17.495586+00:00
