legacy_observation_id,ticker,kap_ticker,financial_period,period_end,statement_type,accounting_type,legacy_sector,consolidation_basis,preferred_basis,first_publication_timestamp,available_from,legacy_available_date,first_notification_id,correction_notification_ids,latest_notification_id,vintage_count,vintage_status,lineage_confidence,presentation_unit_status,presentation_unit,tfrs29_status,restated_comparative_status,pit_quality,recovery_status,source_url,source_hash,failure_reason
AEFES.IS:2020Q3,AEFES.IS,AEFES,2020Q3,2020-09-30,INTERIM,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,05.11.2020 18:56:21,2020-11-06T18:10:00,2020-11-15,886436.0,[],886436.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,PRE_TFRS29,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/886436,c6a325ced584dc1eb7209ee183fe429d978e07c18b432019768fc7f03ba14faf,
AEFES.IS:2020Q4,AEFES.IS,AEFES,2020Q4,2020-12-31,ANNUAL,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,25.02.2021 23:48:21,2021-02-26T18:10:00,2021-03-15,913168.0,[],913168.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,PRE_TFRS29,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/913168,8bdbab17f1b477fb3c46eaf0ab1c590ef067c5eb3120a0b13ed3836edc4dd9c6,
AEFES.IS:2021Q1,AEFES.IS,AEFES,2021Q1,2021-03-31,INTERIM,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,05.05.2021 22:31:20,2021-05-06T18:10:00,2021-05-15,934813.0,[],934813.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,PRE_TFRS29,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/934813,eb14aae6a79042321b468697b514cd7a412f113a28bea5f4e9c505bc5de1a8f4,
AEFES.IS:2021Q2,AEFES.IS,AEFES,2021Q2,2021-06-30,INTERIM,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,12.08.2021 21:05:59,2021-08-13T18:10:00,2021-08-15,957808.0,[],957808.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,PRE_TFRS29,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/957808,e8ac73ccea1233f31394b3710c8636bb3f2d4d94cc22cc031828a970a3d8a184,
AEFES.IS:2021Q3,AEFES.IS,AEFES,2021Q3,2021-09-30,INTERIM,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,04.11.2021 18:52:36,2021-11-05T18:10:00,2021-11-15,974935.0,[],974935.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,PRE_TFRS29,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/974935,b1f2cf91566f888578c8add13aabc727a106fe76b1e6e77d370119d8d5937fd3,
AEFES.IS:2021Q4,AEFES.IS,AEFES,2021Q4,2021-12-31,ANNUAL,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,23.02.2022 21:51:41,2022-02-24T18:10:00,2022-03-15,1003922.0,[],1003922.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,PRE_TFRS29,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/1003922,c1f46c90017f0c09bddd2dd78078ff3274f81b2e1be9a52fb31e3ae563a1f6ed,
AEFES.IS:2022Q1,AEFES.IS,AEFES,2022Q1,2022-03-31,INTERIM,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,09.05.2022 19:22:01,2022-05-10T18:10:00,2022-05-15,1028045.0,[],1028045.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,PRE_TFRS29,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/1028045,1e9562e1c8a961e50a8985bdf43ae21f57670263cec55028b71d32f2cc204772,
AEFES.IS:2022Q2,AEFES.IS,AEFES,2022Q2,2022-06-30,INTERIM,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,10.08.2022 20:32:02,2022-08-11T18:10:00,2022-08-15,1054378.0,[],1054378.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,PRE_TFRS29,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/1054378,db0b4ad3362300613a59879c9c760d2dfaf477f433970e192666a9002dc9eef3,
AEFES.IS:2022Q3,AEFES.IS,AEFES,2022Q3,2022-09-30,INTERIM,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,02.11.2022 19:13:38,2022-11-03T18:10:00,2022-11-15,1076388.0,[1076969],1076969.0,2,FIRST_PLUS_CORRECTION,HIGH,RESOLVED,1.000 TL,PRE_TFRS29,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/1076388,6981d77b2cc1a6d498cb980650e07e76b191a2931322bb1d1a89294c96a15fd4,
AEFES.IS:2022Q4,AEFES.IS,AEFES,2022Q4,2022-12-31,ANNUAL,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,28.02.2023 19:11:11,2023-03-01T18:10:00,2023-03-15,1117868.0,[],1117868.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,PRE_TFRS29,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/1117868,0a5e761dcc23bb774b4df5bac8c5366ed51487ebb4e3b61bd808b94f4ba29622,
AEFES.IS:2023Q1,AEFES.IS,AEFES,2023Q1,2023-03-31,INTERIM,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,03.05.2023 20:00:35,2023-05-04T18:10:00,2023-05-15,1146553.0,[],1146553.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,PRE_TFRS29,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/1146553,2cc63234f76b9bd4958a269fa33408bf3a194ed928b7ec5d7e3eeda9167c40db,
AEFES.IS:2023Q2,AEFES.IS,AEFES,2023Q2,2023-06-30,INTERIM,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,08.08.2023 18:45:30,2023-08-09T18:10:00,2023-08-15,1182359.0,[],1182359.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,PRE_TFRS29,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/1182359,de21e11f2bf50b3abcbce9629acf38aa52ffe5ca4b7afc21580c1d629083d0a9,
AEFES.IS:2023Q3,AEFES.IS,AEFES,2023Q3,2023-09-30,INTERIM,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,01.11.2023 19:18:39,2023-11-02T18:10:00,2023-11-15,1213300.0,[],1213300.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,PRE_TFRS29,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/1213300,f5aaf3d87584b8a0772180de9f312bb1a9252479ea6d1080a52f9cde259acc8d,
AEFES.IS:2023Q4,AEFES.IS,AEFES,2023Q4,2023-12-31,ANNUAL,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,21.03.2024 23:35:12,2024-03-22T18:10:00,2024-03-15,1261306.0,[],1261306.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,POST_TFRS29_CONFIRMED,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/1261306,c795c5edcfff0d7c982c9b5c227dd6834f7b6809b017f1ac4da61365f3892987,
AEFES.IS:2024Q1,AEFES.IS,AEFES,2024Q1,2024-03-31,INTERIM,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,23.05.2024 18:54:11,2024-05-24T18:10:00,2024-05-15,1290383.0,[],1290383.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,POST_TFRS29_UNKNOWN_COMPARATIVE,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/1290383,bbe0278ac7aaf61872118d1e0fd1a6aed989d7e6ae621454bc68fc6dd5161a26,
AEFES.IS:2024Q2,AEFES.IS,AEFES,2024Q2,2024-06-30,INTERIM,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,20.08.2024 20:15:49,2024-08-21T18:10:00,2024-08-15,1326514.0,[],1326514.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,POST_TFRS29_UNKNOWN_COMPARATIVE,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/1326514,d49af81999d5e7dd86d4235fae00f9d9097b2bce24f209fdc0ed3bc7cd3f16d7,
AEFES.IS:2024Q3,AEFES.IS,AEFES,2024Q3,2024-09-30,INTERIM,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,05.11.2024 20:09:45,2024-11-06T18:10:00,2024-11-15,1353869.0,[],1353869.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,POST_TFRS29_UNKNOWN_COMPARATIVE,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/1353869,ddac34d3df16cf66e951aa3328e5e734368f5c51952267a4fb038dd781ac2fdd,
AEFES.IS:2024Q4,AEFES.IS,AEFES,2024Q4,2024-12-31,ANNUAL,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,05.03.2025 20:41:33,2025-03-06T18:10:00,2025-03-15,1401085.0,[],1401085.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,POST_TFRS29_UNKNOWN_COMPARATIVE,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/1401085,32fee7b50ef97e927931061344670856c833a11e930a53da8da59de51feed011,
AEFES.IS:2025Q1,AEFES.IS,AEFES,2025Q1,2025-03-31,INTERIM,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,07.05.2025 21:23:32,2025-05-08T18:10:00,2025-05-15,1435136.0,[],1435136.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,POST_TFRS29_UNKNOWN_COMPARATIVE,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/1435136,6b4e0dcedbbd7f22b8a9107428ead16feddc9b477efe219611d954d128623c65,
AEFES.IS:2025Q2,AEFES.IS,AEFES,2025Q2,2025-06-30,INTERIM,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,12.08.2025 23:43:08,2025-08-13T18:10:00,2025-08-15,1477177.0,[],1477177.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,POST_TFRS29_UNKNOWN_COMPARATIVE,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/1477177,202032e2f37702d8f5489cfb9910640813cc07556247a86dbe0e646a622965f9,
AEFES.IS:2025Q3,AEFES.IS,AEFES,2025Q3,2025-09-30,INTERIM,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,05.11.2025 19:42:34,2025-11-06T18:10:00,2025-11-15,1511858.0,[],1511858.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,POST_TFRS29_UNKNOWN_COMPARATIVE,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/1511858,b9d309fb6ac37cf7bd48e4f5f3b7b9d11e5a62fc0881af2cfd27082c37e343ad,
AEFES.IS:2025Q4,AEFES.IS,AEFES,2025Q4,2025-12-31,ANNUAL,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,05.03.2026 23:54:28,2026-03-06T18:10:00,2026-03-15,1566776.0,[],1566776.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,POST_TFRS29_UNKNOWN_COMPARATIVE,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/1566776,d5d4c20babd774b1d2bd1ad1154e14bd77baea9e16eef31986930ec3b7529f84,
AEFES.IS:2026Q1,AEFES.IS,AEFES,2026Q1,2026-03-31,INTERIM,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,05.05.2026 22:34:28,2026-05-06T18:10:00,2026-05-15,1601482.0,[],1601482.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,POST_TFRS29_UNKNOWN_COMPARATIVE,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/1601482,ade660078185b2cd8b5635563ac2dfdcb8b7ff7c93d5afa55e43eb1fe2d4e6bf,
AEFES.IS:2026Q2,AEFES.IS,AEFES,2026Q2,2026-06-30,INTERIM,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,11.08.2026 22:11:50,2026-08-12T18:10:00,2026-08-15,1648261.0,[],1648261.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,POST_TFRS29_UNKNOWN_COMPARATIVE,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/1648261,b5533f8727d4f1762ee6b2b07bbc5fcf4016b2e115f06270b89b8871aa8b8805,
AGHOL.IS:2018Q1,AGHOL.IS,AGHOL,2018Q1,2018-03-31,INTERIM,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,08.05.2018 18:32:40,2018-05-09T18:10:00,2018-05-15,682026.0,[],682026.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,PRE_TFRS29,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/682026,d1a6712d87bdfeee1bf28952ab1aabb2f8ddb2a9eb01fedacff84bb58aa129a5,
AGHOL.IS:2018Q2,AGHOL.IS,AGHOL,2018Q2,2018-06-30,INTERIM,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,15.08.2018 19:12:16,2018-08-16T18:10:00,2018-08-15,704078.0,[],704078.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,PRE_TFRS29,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/704078,3a9f70543979b113c74086ead1b4bf8e937377ac145d2c024861d5b8dad5e984,
AGHOL.IS:2018Q3,AGHOL.IS,AGHOL,2018Q3,2018-09-30,INTERIM,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,08.11.2018 18:15:20,2018-11-09T18:10:00,2018-11-15,718614.0,[],718614.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,PRE_TFRS29,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/718614,2d511dea413d67cb5120722378adb0bf9e8a6f3c6acd6c12ad277c06a377dee9,
AGHOL.IS:2018Q4,AGHOL.IS,AGHOL,2018Q4,2018-12-31,ANNUAL,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,08.03.2019 01:02:17,2019-03-11T18:10:00,2019-03-15,746089.0,[],746089.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,PRE_TFRS29,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/746089,d09642027b22974a0c5a70d97b2b31d4e50c57f603e7b76df02f779c10b04e69,
AGHOL.IS:2019Q1,AGHOL.IS,AGHOL,2019Q1,2019-03-31,INTERIM,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,10.05.2019 20:41:51,2019-05-13T18:10:00,2019-05-15,763380.0,[],763380.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,PRE_TFRS29,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/763380,b4b6bc63e941e7031c0d8265274e0ce110b5d712c98d07bac83db9578e4278ea,
AGHOL.IS:2019Q2,AGHOL.IS,AGHOL,2019Q2,2019-06-30,INTERIM,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,19.08.2019 21:25:29,2019-08-20T18:10:00,2019-08-15,783109.0,[],783109.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,PRE_TFRS29,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/783109,7514228846eb9b40f0dfcc8affb21a7e7d763cc0959765f8f32bce873ce97af9,
AGHOL.IS:2019Q3,AGHOL.IS,AGHOL,2019Q3,2019-09-30,INTERIM,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,07.11.2019 18:29:36,2019-11-08T18:10:00,2019-11-15,797328.0,[],797328.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,PRE_TFRS29,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/797328,ed7d0f195b3e9d31309e3da277ae0965d4b60458e81148048b017577e65e1ab5,
AGHOL.IS:2019Q4,AGHOL.IS,AGHOL,2019Q4,2019-12-31,ANNUAL,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,04.03.2020 22:50:10,2020-03-05T18:10:00,2020-03-15,824441.0,[],824441.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,PRE_TFRS29,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/824441,802207ebba6b34e1b009ac7bf343a2a2c8e478c85029dbea63e8e9fbf8679472,
AGHOL.IS:2020Q1,AGHOL.IS,AGHOL,2020Q1,2020-03-31,INTERIM,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,08.05.2020 18:31:59,2020-05-11T18:10:00,2020-05-15,843784.0,[],843784.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,PRE_TFRS29,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/843784,72cc67b678daabb1e91850d8a2dd9b7cf8f5565443220ed9902f39ca7e7aa568,
AGHOL.IS:2020Q2,AGHOL.IS,AGHOL,2020Q2,2020-06-30,INTERIM,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,13.08.2020 19:15:32,2020-08-14T18:10:00,2020-08-15,868821.0,[],868821.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,PRE_TFRS29,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/868821,ad9820b6c714517d8ba67850bb2e6825d1482ab52b116ff1b74b755a891bf812,
