outer_fold,inner_year,candidate,target_family,horizon_sessions,univariate_ic_mean,univariate_ic_median,univariate_ic_std,univariate_positive_ratio,univariate_icir,univariate_dates
O1,2020,vol_126,BETA_RESIDUAL,40,0.129147624020721,0.0720200055570992,0.3868379081086765,0.6666666666666666,0.33385462312147246,3
O1,2021,vol_126,BETA_RESIDUAL,40,-0.04984717977215892,0.032120033342595174,0.22212327478635277,0.6666666666666666,-0.22441223154171472,3
O1,2020,downside_vol_63,BETA_RESIDUAL,40,0.10021046714764319,-0.046568491247568775,0.4216225505074535,0.3333333333333333,0.237678148445885,3
O1,2021,downside_vol_63,BETA_RESIDUAL,40,0.012688709826803748,0.07107529869408169,0.1602297919406769,0.6666666666666666,0.0791907027595816,3
O1,2020,downside_vol_126,BETA_RESIDUAL,40,0.17590869749898605,0.06990830786329537,0.3079589312531543,0.6666666666666666,0.5712082997014372,3
O1,2021,downside_vol_126,BETA_RESIDUAL,40,-0.08707974437343707,-0.037065851625451514,0.19248852301342856,0.3333333333333333,-0.45238928020327807,3
O1,2020,max_drawdown_63,BETA_RESIDUAL,40,-0.10333777262521841,0.04106696304529037,0.30754968728678084,0.6666666666666666,-0.3360035041390208,3
O1,2021,max_drawdown_63,BETA_RESIDUAL,40,0.08554228026303605,0.07968880244512366,0.11431084517445618,0.6666666666666666,0.7483303979817941,3
O1,2020,log_adv20,BETA_RESIDUAL,40,-0.27055855234372256,-0.23740502630040913,0.16046673718143772,0.0,-1.6860724976155363,3
O1,2021,log_adv20,BETA_RESIDUAL,40,0.00046309159951838746,-0.003834398444012227,0.17342143487840267,0.3333333333333333,0.0026703250370583766,3
O1,2020,log_adv63,BETA_RESIDUAL,40,-0.2931376212421714,-0.23845704266510814,0.1294503811542703,0.0,-2.2644786259287226,3
O1,2021,log_adv63,BETA_RESIDUAL,40,-0.017912383069371107,-0.042734092803556556,0.20303059702970452,0.3333333333333333,-0.08822504258680983,3
O1,2020,log_amihud20,BETA_RESIDUAL,40,0.3206532465914862,0.2818819403857394,0.17403932548000356,1.0,1.8424183483078829,3
O1,2021,log_amihud20,BETA_RESIDUAL,40,-0.02385847920718719,-0.07891080855793278,0.18003150071134252,0.3333333333333333,-0.13252391449783674,3
O1,2020,log_amihud63,BETA_RESIDUAL,40,0.3185763606110255,0.2286382232612508,0.1716235860509745,1.0,1.85625046033244,3
O1,2021,log_amihud63,BETA_RESIDUAL,40,-0.032509030286190614,-0.08202278410669632,0.17981932367146716,0.3333333333333333,-0.1807871902887653,3
O1,2020,zero_return_ratio20,BETA_RESIDUAL,40,0.046686689112905695,0.1258689125472608,0.14089136018162812,0.6666666666666666,0.331366586657409,3
O1,2021,zero_return_ratio20,BETA_RESIDUAL,40,-0.13318476277272423,-0.14712145007866356,0.0779802794806503,0.0,-1.7079287694239689,3
O1,2020,zero_return_ratio63,BETA_RESIDUAL,40,0.11080206578069478,0.17608932845763736,0.1529024844226394,0.6666666666666666,0.7246583742513012,3
O1,2021,zero_return_ratio63,BETA_RESIDUAL,40,-0.21123471206057495,-0.17995748002140466,0.08260749187915949,0.0,-2.557089039449048,3
O1,2020,volume_cv63,BETA_RESIDUAL,40,0.22694905673031784,0.2612948041122534,0.41441017611622805,0.6666666666666666,0.5476435420993772,3
O1,2021,volume_cv63,BETA_RESIDUAL,40,-0.04267852181161435,-0.021561544873575998,0.13164597922601276,0.3333333333333333,-0.32419160890848714,3
O2,2021,mom_20,VOL_SCALED,40,0.014337315921089189,-0.056126701861628235,0.13164190922149493,0.3333333333333333,0.10891148575614963,3
O2,2022,mom_20,VOL_SCALED,40,0.05800037420788926,0.18716397849462366,0.26276273241219983,0.6666666666666666,0.22073287819561568,3
O2,2021,mom_40,VOL_SCALED,40,0.14689265536723164,0.028396776882467355,0.28230222706502434,0.6666666666666666,0.5203382803402291,3
O2,2022,mom_40,VOL_SCALED,40,0.06403882101858242,0.06941244239631336,0.22277878242213422,0.6666666666666666,0.28745475813418325,3
O2,2021,mom_63_rank,VOL_SCALED,40,0.17992034824488287,0.0736315643234232,0.25037689313812345,1.0,0.7185980542766286,3
O2,2022,mom_63_rank,VOL_SCALED,40,0.09262548590828623,0.10507872503840246,0.12011546829279698,0.6666666666666666,0.7711370335958699,3
O2,2021,mom_126,VOL_SCALED,40,0.11340187089006208,0.0953598221728258,0.21762193846499467,0.6666666666666666,0.5210957667684925,3
O2,2022,mom_126,VOL_SCALED,40,0.04487476484407755,0.04423450958599612,0.10236805313555976,0.6666666666666666,0.4383668876133909,3
O2,2021,mom_252,VOL_SCALED,40,0.21039177549319263,0.2825784940261184,0.3203300789879149,0.6666666666666666,0.6567968145792831,3
O2,2022,mom_252,VOL_SCALED,40,-0.004778852776280373,0.03078632953598222,0.07222849543508204,0.6666666666666666,-0.06616298384029803,3
O2,2021,mom_126_skip20,VOL_SCALED,40,0.18668148559785128,0.284078910808558,0.2163937304197987,0.6666666666666666,0.8626935966938304,3
O2,2022,mom_126_skip20,VOL_SCALED,40,0.03167586376542271,0.05213133640552996,0.11792836114915323,0.6666666666666666,0.26860259446291945,3
O2,2021,mom_252_skip20,VOL_SCALED,40,0.18279151616189684,0.25962767435398726,0.2929045421401526,0.6666666666666666,0.6240651470485988,3
O2,2022,mom_252_skip20,VOL_SCALED,40,-0.017439850020920925,-0.0049104782050313515,0.10827296098846423,0.3333333333333333,-0.16107299423333427,3
O2,2021,positive_return_ratio_63,VOL_SCALED,40,0.1493669512774293,0.16948883947636711,0.19245396574432466,0.6666666666666666,0.7761178144588794,3
O2,2022,positive_return_ratio_63,VOL_SCALED,40,0.02804310090711809,-0.015167389541255488,0.22041987484988423,0.3333333333333333,0.1272258271910221,3
O2,2021,sign_consistency_4x20,VOL_SCALED,40,0.1427721038457476,0.00404385011343341,0.24727504824974578,0.6666666666666666,0.5773817651894619,3
O2,2022,sign_consistency_4x20,VOL_SCALED,40,0.09156503488984939,0.09140483042040118,0.0019993525093028553,1.0,45.797344122061176,3
O2,2021,ret_5,VOL_SCALED,40,0.08750578864499399,-0.013559322033898306,0.1788653214124566,0.3333333333333333,0.48922724625423053,3
O2,2022,ret_5,VOL_SCALED,40,0.012307305700351705,-0.048387096774193554,0.13828005056031067,0.3333333333333333,0.0890027567279771,3
O2,2021,ret_10,VOL_SCALED,40,-0.030387863979704843,-0.01194776326757433,0.08575981799067324,0.3333333333333333,-0.3543368525223509,3
O2,2022,ret_10,VOL_SCALED,40,-0.007348522986771522,0.04651497695852535,0.13486615665993854,0.6666666666666666,-0.054487524288992895,3
O2,2021,ret_20,VOL_SCALED,40,0.014337315921089189,-0.056126701861628235,0.13164190922149493,0.3333333333333333,0.10891148575614963,3
O2,2022,ret_20,VOL_SCALED,40,0.05800037420788926,0.18716397849462366,0.26276273241219983,0.6666666666666666,0.22073287819561568,3
O2,2021,vol_20,VOL_SCALED,40,0.025896082245068074,0.05618227285357044,0.27164985184681495,0.6666666666666666,0.09532890251554799,3
O2,2022,vol_20,VOL_SCALED,40,0.0009666966004523875,0.036290322580645164,0.08507723029164203,0.6666666666666666,0.011362577238805053,3
O2,2021,vol_63_rank,VOL_SCALED,40,0.13677873483375017,0.13914976382328426,0.29414442755237236,0.6666666666666666,0.4650053579865855,3
O2,2022,vol_63_rank,VOL_SCALED,40,-0.03862905253165989,-0.10897471519866632,0.1767306863119109,0.3333333333333333,-0.21857580784518488,3
O2,2021,vol_126,VOL_SCALED,40,0.028193016578679272,0.10586273964990277,0.24848265858110705,0.6666666666666666,0.11346070079766477,3
O2,2022,vol_126,VOL_SCALED,40,-0.06706605116031122,-0.09952764656849127,0.058006789258707656,0.0,-1.1561758893635652,3
O2,2021,downside_vol_63,VOL_SCALED,40,0.0957302954524405,0.12092247846624064,0.2131782443407342,0.6666666666666666,0.4490622190293942,3
O2,2022,downside_vol_63,VOL_SCALED,40,-0.2164605740102182,-0.25023617671575443,0.23676482683914235,0.3333333333333333,-0.9142429511174022,3
O2,2021,downside_vol_126,VOL_SCALED,40,-0.013151801426322121,0.08246735204223397,0.20756450135564677,0.6666666666666666,-0.06336247932775103,3
