outer_fold,target_family,inner_selected_horizon,selected_family_by_inner,cost_bps,train_observations,test_start,test_end,signal_dates,observations,rank_ic_mean,rank_ic_median,positive_ic_ratio,ndcg_at_10_mean,top_k_spread_raw_mean,portfolio_gross_or_net_return,portfolio_cagr,portfolio_sharpe,portfolio_daily_max_drawdown,portfolio_daily_observations,portfolio_turnover,portfolio_total_turnover,portfolio_trade_not_filled,portfolio_missing_mark_events
O1,VOL_SCALED,40,False,50,715,2022-01-01,2022-12-31,3,186,0.02479473340364359,0.02059331797235023,0.6666666666666666,0.6481377888466683,0.10899458373529029,2.867326741705035,5.574030326667332,6.935852090137447,-0.08564061471639373,181,0.904939461534963,2.714818384604889,0,0
O1,VOL_SCALED,40,False,100,715,2022-01-01,2022-12-31,3,186,0.02479473340364359,0.02059331797235023,0.6666666666666666,0.6481377888466683,0.10899458373529029,2.833566714645796,5.494267588809689,6.848592614063499,-0.09064061471639362,181,0.9063565286496512,2.7190695859489535,0,0
O2,RAW,40,False,0,962,2023-01-01,2023-12-31,4,263,-0.17304185848267212,-0.10970548327879322,0.25,0.5164827441769472,0.02414890060367736,1.5885189688826098,2.759040633744459,2.794063118273023,-0.25023375924684044,181,0.9476226775005889,2.842868032501767,0,0
O2,RAW,40,False,30,962,2023-01-01,2023-12-31,4,263,-0.17304185848267212,-0.10970548327879322,0.25,0.5164827441769472,0.02414890060367736,1.5714127675576894,2.7244994525396873,2.771903478093213,-0.25365846111572576,181,0.948624954025357,2.8458748620760708,0,0
O2,RAW,40,False,50,962,2023-01-01,2023-12-31,4,263,-0.17304185848267212,-0.10970548327879322,0.25,0.5164827441769472,0.02414890060367736,1.560032243027441,2.701569514777608,2.7569465738925754,-0.25594648235732853,181,0.9492971570123768,2.8478914710371304,0,0
O2,RAW,40,False,100,962,2023-01-01,2023-12-31,4,263,-0.17304185848267212,-0.10970548327879322,0.25,0.5164827441769472,0.02414890060367736,1.5316635236040983,2.6445852293117134,2.718936498977756,-0.2616837938053794,181,0.9509919111678565,2.8529757335035697,0,0
O2,SECTOR_RELATIVE,40,False,0,962,2023-01-01,2023-12-31,4,263,-0.15948727379921082,-0.11037088783932196,0.5,0.5182982969433552,0.03279696549641904,1.6490360921043954,2.881955232454489,2.8405041581775463,-0.24272382004990722,181,0.9505137653257592,2.8515412959772775,0,0
O2,SECTOR_RELATIVE,40,False,30,962,2023-01-01,2023-12-31,4,263,-0.15948727379921082,-0.11037088783932196,0.5,0.5182982969433552,0.03279696549641904,1.6317088721399156,2.8466486851445563,2.8185083274023714,-0.2461679866683052,181,0.9515111052855522,2.8545333158566564,0,0
O2,SECTOR_RELATIVE,40,False,50,962,2023-01-01,2023-12-31,4,263,-0.15948727379921082,-0.11037088783932196,0.5,0.5182982969433552,0.03279696549641904,1.620181065095478,2.8232096496725485,2.8036589043070554,-0.2484689780951752,181,0.9521799265817551,2.8565397797452654,0,0
O2,SECTOR_RELATIVE,40,False,100,962,2023-01-01,2023-12-31,4,263,-0.15948727379921082,-0.11037088783932196,0.5,0.5182982969433552,0.03279696549641904,1.5914443607459678,2.7649566303398605,2.7659114208923077,-0.2542386906659433,181,0.9538659020628558,2.8615977061885673,0,0
