outer_fold,horizon_sessions,selected_by_inner,cost_bps,train_observations,test_start,test_end,signal_dates,observations,rank_ic_mean,rank_ic_median,positive_ic_ratio,ndcg_at_10_mean,portfolio_gross_or_net_return,portfolio_cagr,portfolio_sharpe,portfolio_daily_max_drawdown,portfolio_daily_observations,portfolio_turnover,portfolio_total_turnover,portfolio_trade_not_filled,portfolio_missing_mark_events
O2,40,True,0,962,2023-01-01,2023-12-31,4,263,-0.17304185848267212,-0.10970548327879322,0.25,0.5164827441769472,1.5885189688826098,2.759040633744459,2.794063118273023,-0.25023375924684044,181,0.9476226775005889,2.842868032501767,0,0
O2,40,True,30,962,2023-01-01,2023-12-31,4,263,-0.17304185848267212,-0.10970548327879322,0.25,0.5164827441769472,1.5714127675576894,2.7244994525396873,2.771903478093213,-0.25365846111572576,181,0.948624954025357,2.8458748620760708,0,0
O2,40,True,50,962,2023-01-01,2023-12-31,4,263,-0.17304185848267212,-0.10970548327879322,0.25,0.5164827441769472,1.560032243027441,2.701569514777608,2.7569465738925754,-0.25594648235732853,181,0.9492971570123768,2.8478914710371304,0,0
O2,40,True,100,962,2023-01-01,2023-12-31,4,263,-0.17304185848267212,-0.10970548327879322,0.25,0.5164827441769472,1.5316635236040983,2.6445852293117134,2.718936498977756,-0.2616837938053794,181,0.9509919111678565,2.8529757335035697,0,0
O2,60,False,0,906,2023-01-01,2023-12-31,3,196,-0.09498153806191413,-0.009178705403463964,0.3333333333333333,0.5510384331562783,1.4968356262365958,2.5749683314997673,2.7117196254049434,-0.25678477729491467,181,1.0738015854859593,3.221404756457878,0,0
O2,60,False,30,906,2023-01-01,2023-12-31,3,196,-0.09498153806191413,-0.009178705403463964,0.3333333333333333,0.5510384331562783,1.4784662853621358,2.538402982171931,2.687408383807103,-0.2606425417291711,181,1.0751433720726458,3.2254301162179373,0,0
O2,60,False,50,906,2023-01-01,2023-12-31,3,196,-0.09498153806191413,-0.009178705403463964,0.3333333333333333,0.5510384331562783,1.4662467587157093,2.5141379962306836,2.6709687457631865,-0.26321950734370414,181,1.0761077708240332,3.2283233124721,0,0
O2,60,False,100,906,2023-01-01,2023-12-31,3,196,-0.09498153806191413,-0.009178705403463964,0.3333333333333333,0.5510384331562783,1.435781936228901,2.4538477888292567,2.629078306650468,-0.26968548384496727,181,1.078784838228817,3.236354514686451,0,0
O3,20,False,0,1292,2024-01-01,2024-12-31,4,299,0.12099732521308118,0.15848113691264884,0.75,0.6800087078305606,0.43459344034384517,0.6527535919923146,1.9844942900553415,-0.1561161113859849,181,1.2414063687329728,3.7242191061989187,0,0
O3,20,False,30,1292,2024-01-01,2024-12-31,4,299,0.12099732521308118,0.15848113691264884,0.75,0.6800087078305606,0.4201680321992969,0.6296611303026018,1.9289417290855022,-0.1566679999500279,181,1.2425114761991873,3.7275344285975622,0,0
O3,20,False,50,1292,2024-01-01,2024-12-31,4,299,0.12099732521308118,0.15848113691264884,0.75,0.6800087078305606,0.4105884321522897,0.614376632252223,1.8911419976901587,-0.15703898760344348,181,1.2432527778444415,3.729758333533325,0,0
O3,20,False,100,1292,2024-01-01,2024-12-31,4,299,0.12099732521308118,0.15848113691264884,0.75,0.6800087078305606,0.3867607589174633,0.5765356906998504,1.7942657144847338,-0.15797830608858798,181,1.2453309550913152,3.7359928652739454,0,0
O3,40,False,0,1290,2024-01-01,2024-12-31,4,297,-0.005874716188698139,0.06025236033095737,0.75,0.5322300741015358,0.35661217061956885,0.5290210811710785,1.7168268338281962,-0.1911292693238411,181,1.235948844927822,3.707846534783466,0,0
O3,40,False,30,1290,2024-01-01,2024-12-31,4,297,-0.005874716188698139,0.06025236033095737,0.75,0.5322300741015358,0.34263068418348297,0.5071257020131854,1.659760637747512,-0.191861080246584,181,1.2372850594523577,3.711855178357073,0,0
